AD_eval,AD_full,KS_eval,KS_full,bias_MC,bias_NN,cls,d_true,degen,gap_nnmc,gap_nntr,id_ok,k,k_MC,k_NN,k_true,kurt_obs,kurt_pred,pair,part,payoff,pg_hi,pg_lo,pred_gap,pred_gap_full,r_naive,r_naive_full,r_strat,r_strat_full,rn_hi,rn_lo,rs_hi,rs_lo,sMC,sMC_e,sMC_f,sNN,sNN_e,sNN_f,skew_obs,skew_pred,spool_e,strad_eval
1,1,0,1,,,kou,,0,,,1,0.05200000000000138,,,,5.264707042431937,5.978254439601763,B,3A,,0.7384856910615509,0.734061392447308,0.7373146489580963,0.7228465292958196,0.6735007746819949,0.7722073720417928,0.9134509610431893,1.0682867534745715,0.7237721086687015,0.6612494894686607,0.9787796339807987,0.894726143993005,,0.0956663695463833,-0.08366619365131364,,1.4901154218503982,0.44947891538556145,0.8332571774290746,0.17686249016265418,0.07794682935945561,0
1,1,0,1,,,kou,,0,,,1,0.05400000000000138,,,,5.264707042431937,5.978254439601763,B,3A,,0.7396400359778472,0.7341748645667858,0.7373146489580963,0.7228465292958196,0.6735007746819949,0.7722073720417928,0.9134509610431893,1.0682867534745715,0.7159258200969908,0.6592346119297865,0.9744925707959684,0.8978978826864554,,0.0956663695463833,-0.08366619365131364,,1.4901154218503982,0.44947891538556145,0.8332571774290746,0.17686249016265418,0.07794682935945561,0
1,1,1,1,,,kou,,0,,,1,0.0800000000000014,,,,3.705353294765597,5.614516949254277,C,3A,,0.7394099466449515,0.7340834623052381,0.7347937105650182,0.7291663959244447,0.7374666317107295,0.7394813368091449,1.003637648372978,1.0141462098944134,0.7886458347375749,0.7180669515789478,1.0559415343451461,0.9591099866805514,,0.36470196484566647,-0.2036188886820726,,-0.4512861705551283,-0.8087575455201481,0.8387224932647912,0.7126413426021144,0.25054437632413223,1
1,1,1,1,,,kou,,0,,,1,0.0820000000000014,,,,3.705353294765597,5.614516949254277,C,3A,,0.7389163197910941,0.7339554908897419,0.7347937105650182,0.7291663959244447,0.7374666317107295,0.7394813368091449,1.003637648372978,1.0141462098944134,0.7816892388642944,0.720719003466533,1.0615321682713812,0.9724218138583094,,0.36470196484566647,-0.2036188886820726,,-0.4512861705551283,-0.8087575455201481,0.8387224932647912,0.7126413426021144,0.25054437632413223,1
1,1,1,1,,,kou,,0,,,1,0.0840000000000014,,,,3.705353294765597,5.614516949254277,C,3A,,0.7393999363749524,0.7332044399436397,0.7347937105650182,0.7291663959244447,0.7374666317107295,0.7394813368091449,1.003637648372978,1.0141462098944134,0.7893827706739658,0.7149007201235926,1.0606459509753843,0.9680652832688327,,0.36470196484566647,-0.2036188886820726,,-0.4512861705551283,-0.8087575455201481,0.8387224932647912,0.7126413426021144,0.25054437632413223,1
1,1,1,1,,,kou,,0,,,1,0.08600000000000141,,,,3.705353294765597,5.614516949254277,C,3A,,0.739525362773723,0.7334879871172992,0.7347937105650182,0.7291663959244447,0.7374666317107295,0.7394813368091449,1.003637648372978,1.0141462098944134,0.783914586583788,0.7168111527048319,1.0580240533422767,0.9666274827682606,,0.36470196484566647,-0.2036188886820726,,-0.4512861705551283,-0.8087575455201481,0.8387224932647912,0.7126413426021144,0.25054437632413223,1
1,1,0,1,,,kou,,0,,,1,0.0800000000000014,,,,4.636067509559599,5.963006574043265,D,3A,,0.7634388024603571,0.7470978306730697,0.7567421838891136,0.7558374189662735,0.7440194708192226,0.755868722235932,0.9831875196853631,1.000041415347895,0.7933077609789579,0.7328180686271013,1.0590272548245916,0.9725219665692029,,-0.10835151326043842,-0.08551179106331622,,-0.647027144622428,-0.6734585362641844,-1.0309283730368863,-0.1788632888397453,-0.09539087738039835,0
1,1,0,1,,,kou,,0,,,1,0.0820000000000014,,,,4.636067509559599,5.963006574043265,D,3A,,0.7633325783690017,0.747429426565569,0.7567421838891136,0.7558374189662735,0.7440194708192226,0.755868722235932,0.9831875196853631,1.000041415347895,0.7967085583701083,0.7359625776954801,1.0529371580467073,0.965121269184515,,-0.10835151326043842,-0.08551179106331622,,-0.647027144622428,-0.6734585362641844,-1.0309283730368863,-0.1788632888397453,-0.09539087738039835,0
1,1,0,1,,,kou,,0,,,1,0.0840000000000014,,,,4.636067509559599,5.963006574043265,D,3A,,0.7644854801693671,0.7474456282886998,0.7567421838891136,0.7558374189662735,0.7440194708192226,0.755868722235932,0.9831875196853631,1.000041415347895,0.7881261450047162,0.7293195978062906,1.0456403264886722,0.9694169685574446,,-0.10835151326043842,-0.08551179106331622,,-0.647027144622428,-0.6734585362641844,-1.0309283730368863,-0.1788632888397453,-0.09539087738039835,0
1,1,0,1,,,kou,,0,,,1,0.08600000000000141,,,,4.636067509559599,5.963006574043265,D,3A,,0.7653207300767453,0.7473859172091478,0.7567421838891136,0.7558374189662735,0.7440194708192226,0.755868722235932,0.9831875196853631,1.000041415347895,0.7853672482105958,0.7280605977416088,1.0515593218939894,0.9671510397508669,,-0.10835151326043842,-0.08551179106331622,,-0.647027144622428,-0.6734585362641844,-1.0309283730368863,-0.1788632888397453,-0.09539087738039835,0
