model,pair,payoff,s,MR_theory,MR_emp,ratio,KS_p,KS_rej,AD_rej,sig2_le1,sig2_1to2,sig2_2to3,sig2_gt3,n_seed
heston,C,barrier_uo130,9.802054518621036,0.0007993351757205275,0.000799335175720527,0.9999999999999993,0.792043442483204,0,0,1.0000000000000002,0.0,0.0,0.0,200
heston,D,price_ATMcall,-9.910184235373496,0.010565687808466744,0.010565687808466739,0.9999999999999996,0.867841769954391,0,0,0.9286092399617817,0.07043228061944512,0.0003368885875640569,0.0006215908312092759,200
heston,D,delta_ATM,-3.335019912894295,0.005057851963215101,0.005057514222064155,0.9999332243898393,0.44623241751859977,0,0,0.9394626640664245,0.0600818332399017,0.00015455021148227718,0.0003009524821913334,200
heston,D,gamma_ATM,10.28177937428344,0.07259374022483822,0.07259374022483826,1.0000000000000007,0.9933720383071394,0,0,0.0,0.0,0.0,0.0,200
heston,D,gamma_OTM110,10.286522191353708,0.0750930562615395,0.07509305626153946,0.9999999999999994,0.8796036382851311,0,0,1.0,0.0,0.0,0.0,200
heston,D,digital_ATM,6.712823383548403,0.005508173586404832,0.005508173586402585,0.9999999999995921,0.7760317914256651,0,0,0.9904699001514673,0.009537180518565157,-6.359840505288582e-06,-7.208295269771921e-07,200
heston,D,digital_OTM110,-2.412460890357268,0.002072785085324156,0.0020691837698865075,0.9982625717141894,0.9002818881716541,0,0,0.9747822377893489,0.02520504597085604,6.418062379389525e-06,6.298177415584049e-06,200
heston,D,barrier_uo130,12.167607802903499,0.002261411279831872,0.0022614112798318713,0.9999999999999997,0.5624382468536164,0,0,1.0,0.0,0.0,0.0,200
kou,A,price_ATMcall,-4.685033034711267,0.00032884905702908977,0.0003288490182511868,0.9999998820799325,0.48634118557979367,0,0,0.5421873872285953,0.45162853899037125,0.006086037504496856,9.80362765365807e-05,170
kou,A,delta_ATM,-2.0329319247755557,0.00019325979647924737,0.00019364856124163697,1.0020116173641493,0.9565126028561896,0,0,0.6137006067095644,0.3828470433412376,0.003419294740215431,3.305520898253313e-05,170
kou,A,gamma_ATM,6.005002102022578,0.0019161140218467518,0.0019161140217500575,0.9999999999495363,0.8231850434443061,0,0,0.0,0.0,0.0,0.0,170
kou,A,gamma_OTM110,5.915461204313624,0.0015544523212483452,0.0015544523211086497,0.999999999910132,0.8123496903897348,0,0,1.0,0.0,0.0,0.0,170
kou,A,digital_ATM,2.787375936217406,0.00013713342430164837,0.00013705534416997908,0.9994306265444263,0.9530706874439744,0,0,0.9675365035826098,0.03259015508747771,-0.00012253111949391695,-4.127550593592395e-06,170
kou,A,digital_OTM110,-0.7525129145858539,4.1439987984244215e-05,4.168023871556979e-05,1.0057975579388903,0.8690083439894994,0,0,0.8294112049847128,0.1702811033153564,0.00030615379188690087,1.5379080438956041e-06,170
