AD_rej,Delta_true,J,J_frac,KS_p,KS_rej,MR_emp,MR_theory,S,boot_q25,boot_q75,degenerate,kind,model,mu,pair,payoff,ratio,s,seedset,sigma
0,0.0002368982427383671,5.598827706031859e-29,2.1280621965681126e-24,0.9999976364147362,0,0.00026320775434503436,0.00026320775434503436,2.6309511606667263e-05,1.0,1.0,0,scan,heston,0.00026320775434503436,A,digit_k=-0.900,1.0,9.96568142881619,eval,2.641141563927159e-05
0,0.0002368982427383671,7.037186855039978e-29,2.5137325095273628e-24,0.4564674122192559,0,0.00026489321367647667,0.00026489321367647667,2.799497093810958e-05,1.0,1.0,0,scan,heston,0.00026489321367647667,A,digit_k=-0.900,1.0,9.943997811289238,insample,2.663850281380274e-05
0,0.00038888515735540334,3.190779964474942e-26,1.3197242601412089e-21,0.9153806783985107,0,0.00041306278340081325,0.00041306278340081325,2.4177626045409912e-05,1.0,1.0,0,scan,heston,0.00041306278340081325,A,digit_k=-0.750,1.0,9.37468272359351,eval,4.406152139541185e-05
0,0.00038888515735540334,1.1902141393318608e-26,4.527087038516279e-22,0.18888079354972387,0,0.00041517610624164223,0.00041517610624164223,2.629094888623889e-05,1.0,1.0,0,scan,heston,0.00041517610624164223,A,digit_k=-0.750,1.0,9.476481406976694,insample,4.381120886661423e-05
0,0.0005302405174140833,3.300214090774688e-24,2.0847091507903295e-19,0.8812466494683308,0,0.0005460710906598694,0.0005460710906598694,1.5830573245786115e-05,1.0,1.0,0,scan,heston,0.0005460710906598694,A,digit_k=-0.600,1.0,8.91407781025019,eval,6.125940364037982e-05
1,0.0005302405174140833,6.35564991666771e-25,3.574459051052659e-20,0.20185100239645815,0,0.0005480212496196908,0.0005480212496196908,1.778073220560746e-05,1.0,1.0,0,scan,heston,0.0005480212496196908,A,digit_k=-0.600,1.0,9.091045438497698,insample,6.028143334307784e-05
0,0.0006760531819092028,1.368662280467619e-22,3.1789100515816502e-16,0.7933762585789284,0,0.0006756226373960648,0.0006756226373960648,-4.3054451313796933e-07,1.0,1.0,0,scan,heston,0.0006756226373960648,A,digit_k=-0.450,1.0,8.526251372470048,eval,7.924029070706808e-05
1,0.0006760531819092028,1.584037479014558e-23,2.746261804323739e-17,0.30950620645256066,0,0.0006766299796043536,0.0006766299796043536,5.767976951507811e-07,1.0,1.0,0,scan,heston,0.0006766299796043536,A,digit_k=-0.450,1.0,8.766426827483262,insample,7.718423856377595e-05
0,0.0007044609764353164,8.776856224060913e-22,8.77772086908955e-17,0.9782213630161084,0,0.0006944619614803429,0.0006944619614803429,-9.999014954973468e-06,1.0,1.0,0,scan,heston,0.0006944619614803429,A,digit_k=-0.323,1.0,8.31747065004961,eval,8.349436874492617e-05
0,0.0007044609764353164,5.378861789293437e-23,5.377836234963471e-18,0.589889481959054,0,0.0006944590694335313,0.0006944590694335313,-1.0001907001785026e-05,1.0,1.0,0,scan,heston,0.0006944590694335313,A,digit_k=-0.323,1.0,8.634023075598543,insample,8.043284843611432e-05
0,0.0006980191300378938,2.8073110724989282e-21,2.2681532502571367e-16,0.997947399489764,0,0.0006856420515835139,0.0006856420515835139,-1.2377078454379868e-05,0.9999999999999999,1.0,0,scan,heston,0.0006856420515835139,A,digit_k=-0.300,1.0,8.180836848068243,eval,8.381074752094781e-05
0,0.0006980191300378938,8.911290615236711e-23,7.035226806052531e-18,0.4949543784321063,0,0.000685352458641358,0.000685352458641358,-1.2666671396535743e-05,1.0,1.0,0,scan,heston,0.000685352458641358,A,digit_k=-0.300,1.0,8.576109361616194,insample,7.991414635041469e-05
0,0.0006980191300378938,2.8073110724989282e-21,2.2681532502571367e-16,0.997947399489764,0,0.0006856420515835139,0.0006856420515835139,-1.2377078454379868e-05,0.9999999999999999,1.0,0,scan,heston,0.0006856420515835139,A,digit_k=-0.289,1.0,8.180836848068243,eval,8.381074752094781e-05
0,0.0006980191300378938,8.911290615236711e-23,7.035226806052531e-18,0.4949543784321063,0,0.000685352458641358,0.000685352458641358,-1.2666671396535743e-05,1.0,1.0,0,scan,heston,0.000685352458641358,A,digit_k=-0.289,1.0,8.576109361616194,insample,7.991414635041469e-05
0,0.0006821545534830492,7.477470087707097e-21,5.218595262140903e-16,0.9678783989428834,0,0.0006678260422418086,0.0006678260422418086,-1.4328511241240615e-05,0.9999999999999997,1.0,0,scan,heston,0.0006678260422418086,A,digit_k=-0.256,1.0,8.062215925883738,eval,8.283405559726498e-05
0,0.0006821545534830492,1.1334189056525238e-22,7.796694280649964e-18,0.35584408009589985,0,0.0006676173808704784,0.0006676173808704784,-1.4537172612570843e-05,1.0,1.0,0,scan,heston,0.0006676173808704784,A,digit_k=-0.256,1.0,8.5461499351552,insample,7.811908121623124e-05
0,0.0006562251764790204,1.6390696679665774e-20,1.0905076985726862e-15,0.9819487340906832,0,0.0006411948408829317,0.0006411948408829317,-1.5030335596088649e-05,0.9999999999999993,1.0,0,scan,heston,0.0006411948408829317,A,digit_k=-0.223,1.0,7.963668126007433,eval,8.051501277268736e-05
0,0.0006562251764790204,2.3646246873918283e-22,1.5413258241553687e-17,0.3945565828885649,0,0.0006408836785923706,0.0006408836785923706,-1.5341497886649756e-05,1.0,1.0,0,scan,heston,0.0006408836785923706,A,digit_k=-0.223,1.0,8.45840059992337,insample,7.576889637955628e-05
0,0.0006198275590913234,1.983048154317954e-20,1.336337943704625e-15,0.9702139636188095,0,0.0006049881379429535,0.0006049881379429535,-1.4839421148369865e-05,0.9999999999999998,1.0,0,scan,heston,0.0006049881379429535,A,digit_k=-0.189,1.0,7.933767865079738,eval,7.625483228540026e-05
0,0.0006198275590913234,2.566739120193471e-22,1.6239533122968015e-17,0.4231429795308833,0,0.0006040220608620469,0.0006040220608620469,-1.580549822927644e-05,1.0,1.0,0,scan,heston,0.0006040220608620469,A,digit_k=-0.189,1.0,8.442342237249854,insample,7.154673950517444e-05
0,0.0005728535701940314,1.4154738860567079e-19,9.876229715676353e-15,0.9767185309154963,0,0.0005585214421775077,0.0005585214421775079,-1.4332128016523744e-05,0.9999999999999959,1.0,0,scan,heston,0.0005585214421775077,A,digit_k=-0.156,0.9999999999999997,7.68377742653001,eval,7.268839415481817e-05
0,0.0005728535701940314,6.100028058698693e-22,4.098568382957796e-17,0.35821369736258246,0,0.0005579702560981556,0.0005579702560981555,-1.4883314095875868e-05,1.0,1.0,0,scan,heston,0.0005579702560981556,A,digit_k=-0.156,1.0000000000000002,8.334181330589619,insample,6.694961796069787e-05
