AD_rej,FN,KS_rej,MR_emp,T,atom,b_delta,d_true,da,degen,kurt,mode,mu,part,payoff,ratio,ratio_hi,ratio_lo,s,sigma,skew
1,0.6578232291807443,0,0.6578232291787134,10000,0.0,0.008843437487953576,-0.666666666666667,0.05,0,5.025553479703144,CRN,-0.6578232291787134,2,EN,0.9999999999969127,0.9999999999997249,0.9999999999869928,-6.423492946633517,0.10240895952465728,-0.8806090172138374
1,0.3124352632776406,0,0.31243092607234557,10000,0.0,0.007319803094321287,-0.31975072916666686,0.05,0,5.290089909334412,CRN,-0.31243092607234557,2,over5,0.9999861180673093,0.9999938079437433,0.9999777813124313,-3.702093880197136,0.08439303166879945,-1.0507676758529834
1,0.003616057895640757,1,0.002752091528856564,10000,0.1,5.7608262917952825e-05,-0.0023732892759578744,0.05,0,8.097261056864681,IND,-0.0023156810130399216,2,SLA20,0.7610750735419018,0.7851001111486509,0.7452473272808222,-0.6003728647567931,0.003857071411743414,-1.8307586924384356
0,0.028947701757369115,0,0.028319665426020987,10000,0.0,0.0003135574640551475,-0.028065989809472676,0.05,0,3.439128524883526,IND,-0.02775243234541753,2,SLA10,0.9783044492923086,0.9830154358156911,0.9725019499220783,-1.4669139029675924,0.01891892379591868,-0.48563129138913963
0,0.6779381290459726,0,0.6750975260288281,10000,0.0,-0.007793705933933248,-0.666666666666667,0.05,0,4.19931265310159,IND,-0.6744603726006002,2,EN,0.9958099376691765,0.9970307588439905,0.9943821599081084,-2.1546597347602474,0.31302407601525467,-0.5817005788780278
1,0.3290422473542914,0,0.32291535201855626,10000,0.0,0.00023179597516881367,-0.31975072916666686,0.05,0,4.854235333591383,IND,-0.31951893319149804,2,over5,0.9813796088952125,0.9864638160971555,0.9769863104363392,-1.591419723457869,0.200776029404261,-0.8513139104803934
1,5.1450659334882946e-05,1,4.297086227722185e-05,30000,0.12,3.883788695555171e-06,-4.685465097277702e-05,0.002,0,5.023986789087548,CRN,-4.297086227722185e-05,2,SLA20,0.8351858427611657,0.8494807701610341,0.8251170779042957,-0.9419484680806797,4.561912220610068e-05,-1.5346951083213134
1,0.0008359854116772997,1,0.0008351299185977171,30000,0.0,-1.7601680010527498e-05,-0.0008175282385871896,0.002,0,32.92845340594122,CRN,-0.0008351299185977171,2,SLA10,0.9989766650618147,0.9998022949933281,0.9978164522747575,-2.6264479885059964,0.000317969334345267,-4.691555899898892
1,0.022766305257414098,1,0.022766301798668797,30000,0.0,-0.0003949371454250554,-0.02237136465324374,0.002,0,16.629578299480535,CRN,-0.022766301798668797,2,EN,0.9999998480761256,0.9999999948134122,0.9999995349621165,-4.63685203888492,0.004909861606052818,-2.692748859364054
1,0.009571756045171709,1,0.009570581726613856,30000,0.0,-0.00012216674540200569,-0.00944841498121185,0.002,0,31.467180561269974,CRN,-0.009570581726613856,2,over5,0.9998773141989504,0.9999879091429418,0.9995664753216522,-3.185542176125413,0.003004380792174785,-4.311758217003182
1,0.0011555829450249527,1,0.0009491419615932876,30000,0.02,-2.272968838981163e-05,-4.685465097277702e-05,0.002,0,7.683998222326048,IND,-6.958433936258865e-05,2,SLA20,0.8213533833114789,0.8444026974594497,0.8056136573891944,-0.04810081891785162,0.0014466352325815366,-0.3859770693665664
0,0.006851739658895101,0,0.0067951530394321355,30000,0.0,0.0009064595757109504,-0.0008175282385871896,0.002,0,2.9804432656219295,IND,8.893133712376072e-05,2,SLA10,0.9917412770653796,1.0041329146149653,0.9810172824111749,0.0103566028124838,0.008586921670546572,-0.11720726699489332
0,0.11878297929932223,0,0.11972219733856378,30000,0.0,0.017958024372838756,-0.02237136465324374,0.002,0,2.8763701319359543,IND,-0.004413340280404985,2,EN,1.007907008603268,1.0211295295268388,0.9984621868492648,-0.029658160399624774,0.14880694624811663,-0.1417064089041796
0,0.07043986570921673,0,0.06874507837978505,30000,0.0,0.007658682122865876,-0.00944841498121185,0.002,0,3.0582382749624464,IND,-0.0017897328583459738,2,over5,0.9759399409358908,0.9873441067487748,0.9632286278848178,-0.020276781490415736,0.08826513513458387,-0.1647464681194812
1,0.0025112506285044217,1,0.0023784879089910264,30000,0.005,-5.198633033152034e-06,-0.0023732892759578744,0.05,0,3.523756879469773,CRN,-0.0023784879089910264,2,SLA20,0.9471328277606197,0.9522619524554106,0.9397657814673389,-1.3782028048194312,0.0017257894851713425,-0.9624836088217485
1,0.028764404663352432,0,0.028764404662805356,30000,0.0,-0.0006984148533326802,-0.028065989809472676,0.05,0,2.842019695967557,CRN,-0.028764404662805356,2,SLA10,0.9999999999809808,0.9999999999940115,0.9999999999457808,-6.153953460945849,0.004674134252939952,-0.5536301842628081
1,0.6758586226692429,0,0.6758586226692429,30000,0.0,-0.00919195600257594,-0.666666666666667,0.05,0,3.1444469554135486,CRN,-0.6758586226692429,2,EN,1.0,1.0,1.0,-10.64753980443818,0.06347556666447275,-0.60378963288814
1,0.3260752564942004,0,0.32607525649223523,30000,0.0,-0.006324527325568374,-0.31975072916666686,0.05,0,3.2166375463322017,CRN,-0.32607525649223523,2,over5,0.9999999999939734,0.9999999999986848,0.9999999999792002,-6.325500278227447,0.051549322923057264,-0.6972339555705005
1,0.00279565244274127,1,0.0025837192918563325,30000,0.0,-5.97262046947134e-05,-0.0023732892759578744,0.05,0,4.105810588485048,IND,-0.002433015480652588,2,SLA20,0.924191881778721,0.9344834061966087,0.9111592311796705,-1.0384594414931594,0.002342908527225918,-0.9524014948305175
0,0.02765755049207503,0,0.02765474020891749,30000,0.0,0.00042706146452320057,-0.028065989809472676,0.05,0,2.908863211149467,IND,-0.027638928344949475,2,SLA10,0.9998983900198124,1.0002145052809834,0.9995848385201778,-2.7418858085556423,0.010080262372235327,-0.021059093967641437
0,0.6596232128331281,0,0.6596189169212622,30000,0.0,0.0070477497454047855,-0.666666666666667,0.05,0,2.803537651217285,IND,-0.6596189169212622,2,EN,0.9999934873246085,0.9999963557089615,0.9999890717972568,-3.8702340009848406,0.17043385923264898,0.021497331386695743
0,0.3170663596799712,0,0.31693614064827996,30000,0.0,0.0028145885183868957,-0.31975072916666686,0.05,0,3.0353169175398347,IND,-0.31693614064827996,2,over5,0.9995893003855008,0.9997304979261892,0.9994117349460506,-2.874821108853725,0.11024551742443955,-0.13275456729110252
1,5.1326002074729876e-05,1,4.8996561036882984e-05,100000,0.0,-2.141910064105962e-06,-4.685465097277702e-05,0.002,0,8.08669666953705,CRN,-4.8996561036882984e-05,2,SLA20,0.9546147967173585,0.9651923543180224,0.9459017861687012,-1.4331898720917304,3.4187068992730775e-05,-1.7700761652710961
1,0.000810225237531804,1,0.0008102251320927994,100000,0.0,7.303106494390191e-06,-0.0008175282385871896,0.002,0,9.669155434575204,CRN,-0.0008102251320927994,2,SLA10,0.9999998698645762,0.9999999759518678,0.9999993863531129,-4.6663358678927604,0.0001736319791439881,-2.1419081626474497
1,0.022249494981684215,1,0.0222494949816841,100000,0.0,0.00012186967155964137,-0.02237136465324374,0.002,0,12.369396713088753,CRN,-0.0222494949816841,2,EN,0.9999999999999949,1.0,0.999999999999768,-7.298959925889275,0.0030483103356637917,-2.415132873919622
1,0.009428867216403992,1,0.009428867091579333,100000,0.0,1.9547889632516927e-05,-0.00944841498121185,0.002,0,16.018514353373337,CRN,-0.009428867091579333,2,over5,0.9999999867614363,0.9999999994571891,0.9999999163789658,-5.085626167108787,0.0018540228443373196,-2.968031456154947
