config_id,model,block,payoff,Delta,sigma_delta_mlp,mu_delta_mlp,b_Delta_mlp,empirical_mr_mlp,J_mlp,S_mlp,M_pred_mlp,raw_acc_err_mlp,residual_NN_error_mlp,explained_fraction_mlp,sigma_delta_deeponet,mu_delta_deeponet,b_Delta_deeponet,empirical_mr_deeponet,J_deeponet,S_deeponet,M_pred_deeponet,raw_acc_err_deeponet,residual_NN_error_deeponet,explained_fraction_deeponet
Exp01-E,heston,Exp01,OTM_K110,-0.0306825997186756,0.00133067,-0.0291567,0.001525899718675599,0.02882499,1.2261901427187717e-110,-0.001525899718675599,-0.001525899718675599,0.060542774592366934,-0.010811013507375544,0.8214318127940808,0.00096,-0.03237274,-0.0016901402813243975,0.03228345,7.925169349165967e-254,0.0016901402813243975,0.0016901402813243975,0.05217453201496508,-0.002910118465145918,1.0557766088694618
Exp01-E,heston,Exp01,OTM_K125,-0.0287022546178848,0.00115317,-0.0272696,0.0014326546178847974,0.02695795,6.0838014526723e-128,-0.0014326546178847974,-0.0014326546178847974,0.060772390221843255,-0.01085803203089859,0.8213328126265483,0.00085,-0.0304044,-0.0017021453821152027,0.03031607,7.705183843893242e-285,0.0017021453821152027,0.0017021453821152027,0.0562260841038463,-0.0030774585890880266,1.0547336461028327
kou-A,kou,KouAB_stageB,ATM,-0.0002777814421048,2.351e-05,-0.00025545,2.233144210479998e-05,0.00024391,3.5787756933531274e-33,-2.233144210479998e-05,-2.233144210479998e-05,0.12193558305461294,-0.041543451976342835,0.6593000095982138,5.7e-05,-0.00032967,-5.1888557895200024e-05,0.00031581,6.825015453731665e-14,5.1888557895200024e-05,5.188855796345018e-05,0.136901002482566,-0.049895342047440124,1.364462941414868
kou-A,kou,KouAB_stageB,OTM_K110,-0.0002812065971568,2.205e-05,-0.00026507,1.613659715680001e-05,0.00025451,4.968802683124887e-39,-1.613659715680001e-05,-1.613659715680001e-05,0.0949358849569026,-0.03755246180839698,0.6044439694700858,5.4e-05,-0.00033442,-5.321340284319997e-05,0.00032108,4.909427128401005e-15,5.321340284319997e-05,5.32134028481094e-05,0.14179398081819072,-0.04743843188526285,1.3345588551187426
kou-A,kou,KouAB_stageB,OTM_K125,-0.0002628344503136,1.963e-05,-0.00025935,3.4844503135999898e-06,0.0002502,1.1002868881904461e-45,-3.4844503135999898e-06,-3.4844503135999898e-06,0.048069993482685466,-0.03481278800812713,0.27578962496288895,5e-05,-0.0003157,-5.28655496864e-05,0.00030345,2.0567423972661397e-15,5.28655496864e-05,5.286554968845674e-05,0.15452901869575963,-0.0466072844995802,1.3016086227231
kou-B,kou,KouAB_stageB,ATM,-0.0013928656015801,0.0001154,-0.00127877,0.00011409560158010001,0.00122473,1.586754842907008e-33,-0.00011409560158010001,-0.00011409560158010001,0.12071200652048766,-0.03879771310217994,0.6785927579159654,0.000289,-0.0016532,-0.0002603343984199,0.00159303,5.081693542383569e-13,0.0002603343984199,0.0002603343989280694,0.14370690050269655,-0.04319871238108773,1.3006029093242955
kou-B,kou,KouAB_stageB,OTM_K110,-0.001410519954541,0.00010802,-0.00132739,8.312995454099999e-05,0.00127749,9.076023385560995e-40,-8.312995454099999e-05,-8.312995454099999e-05,0.09431270653968833,-0.03537702521637698,0.624896511675341,0.000277,-0.00167748,-0.0002669600454590002,0.0016195,6.079072866482213e-14,0.0002669600454590002,0.0002669600455197909,0.14815816308462276,-0.04110540930252786,1.2774427574338232
kou-B,kou,KouAB_stageB,OTM_K125,-0.0013198220982517,9.591e-05,-0.00129984,1.9982098251699948e-05,0.00125579,5.346742091304365e-47,-1.9982098251699948e-05,-1.9982098251699948e-05,0.048515704000198265,-0.03337571030091925,0.31206377422075837,0.000254,-0.0015853,-0.0002654779017483,0.00153184,1.6847778312229996e-14,0.0002654779017483,0.0002654779017651478,0.16064127281180485,-0.04050545909760377,1.2521485194222586
kou-C,kou,KouAB_stageB,ATM,-0.0027954269045151,0.00022646,-0.0025639,0.0002315269045151001,0.00246101,2.0199929183299024e-34,-0.0002315269045151001,-0.0002315269045151001,0.11962999425059503,-0.03680654279810171,0.6923301465600578,0.00054,-0.0033184,-0.0005229730954848999,0.00318857,6.688238408451895e-14,0.0005229730954848999,0.0005229730955517822,0.14063794508448973,-0.046443711283304996,1.3302359918257016
kou-C,kou,KouAB_stageB,OTM_K110,-0.0028320409036888,0.0002115,-0.00266196,0.00017008090368879998,0.00256718,4.1797108677392004e-41,-0.00017008090368879998,-0.00017008090368879998,0.09352297960944435,-0.033467030746818255,0.6421517910723343,0.000521,-0.00336719,-0.0005351490963111999,0.0032437,7.92240532730783e-15,0.0005351490963111999,0.0005351490963191222,0.14535775093325953,-0.04360459619318133,1.299981225034241
kou-C,kou,KouAB_stageB,OTM_K125,-0.002653544848534,0.00018784,-0.00260895,4.4594848533999806e-05,0.00252455,9.858350082982825e-49,-4.4594848533999806e-05,-4.4594848533999806e-05,0.04861227373084179,-0.031806509713460634,0.3457103058053182,0.000482,-0.00318502,-0.0005314751514660003,0.00307333,2.7255014524318294e-15,0.0005314751514660003,0.0005314751514687258,0.15819787319514053,-0.04209086575809363,1.2660646752575093
kou-D,kou,KouAB_stageB,ATM,-0.0084975359863295,0.0006837,-0.00781755,0.0006799859863295,0.00752233,1.6624294189646352e-34,-0.0006799859863295,-0.0006799859863295,0.11476338410315326,-0.0347418358068666,0.6972742126910492,0.001524,-0.00991983,-0.0014222940136704998,0.00977775,1.695284950630007e-14,0.0014222940136704998,0.0014222940136874526,0.1506570864460072,-0.016720141020352894,1.1109814441177648
kou-D,kou,KouAB_stageB,OTM_K110,-0.0086225282811403,0.00063675,-0.00811622,0.000506308281140299,0.00784388,1.6130785479656323e-41,-0.000506308281140299,-0.000506308281140299,0.09030394053254721,-0.03158470359507885,0.6502400292964498,0.001483,-0.01008659,-0.0014640617188597,0.00995281,2.169387067865645e-15,0.0014640617188597,0.0014640617188618696,0.1542797745029576,-0.015515170915099418,1.1005651645854713
kou-D,kou,KouAB_stageB,OTM_K125,-0.0081214321158754,0.00056583,-0.00797296,0.00014847211587539974,0.0077259,1.7218218189006304e-49,-0.00014847211587539974,-0.00014847211587539974,0.04870226214194801,-0.030420743099860186,0.3753730984569949,0.001374,-0.00959326,-0.0014718278841246001,0.00947585,5.513082705425479e-16,0.0014718278841246001,0.0014718278841251513,0.16677081884081094,-0.01445680987359903,1.0866866875996966
