AD_rej,FN,J,JJS,KS_rej,MR_emp,S,a2,b_delta,burn,d_true,degen,ident_resid,key,kurt,mode,mrrat,mu,part,ratio,ratioCRN,ratioIND,ratio_hi,ratio_lo,rho_CRN,rho_IND,s,sigma,sigrat,skew
1,0.6578232291807443,2.030930978946799e-12,2.2965402098979013e-10,0,0.6578232291787134,-0.008843437487953576,0.75,0.008843437487953576,,-0.666666666666667,0,0.0,EN,5.025553479703144,CRN,,-0.6578232291787134,2,0.9999999999969127,,,0.9999999999996184,0.9999999999834691,,,-6.423492946633517,0.10240895952465728,,-0.8806090172138374
1,0.027523947485418362,1.0605523753683122e-06,0.0019489593001448472,0,0.027522886933042993,-0.0005431028764296825,0.75,0.0005431028764296825,,-0.028065989809472676,0,0.0,SLA10,3.3196579040650542,CRN,,-0.027522886933042993,2,0.9999614680134116,,,0.9999763094709008,0.9999437017493304,,,-3.4664830379661025,0.007939714872856139,,-0.574155855917582
1,0.0026710374415861507,0.0006588268262143174,0.6459685085930708,1,0.0020122106153718333,-0.0003610786605860411,0.75,0.0003610786605860411,,-0.0023732892759578744,0,0.0,SLA20,8.658317458007588,CRN,,-0.0020122106153718333,2,0.7533442190076212,,,0.7753588565547487,0.7406348902434036,,,-0.7716654960120347,0.0026076203040967007,,-2.150797187112862
1,0.3124352632776406,4.337205295024127e-06,0.0005921794391693097,0,0.31243092607234557,-0.007319803094321287,0.75,0.007319803094321287,,-0.31975072916666686,0,0.0,over5,5.290089909334412,CRN,,-0.31243092607234557,2,0.9999861180673093,,,0.9999953664479916,0.999980214093033,,,-3.702093880197136,0.08439303166879945,,-1.0507676758529834
0,0.6779381290459726,0.003477756445372404,0.3085452737488214,0,0.6750975260288281,0.007793705933933248,0.75,-0.007793705933933248,,-0.666666666666667,0,0.0,EN,4.19931265310159,IND,,-0.6744603726006002,2,0.9958099376691765,,,0.9970373635117199,0.9943496503441533,,,-2.1546597347602474,0.31302407601525467,,-0.5817005788780278
0,0.028947701757369115,0.0011952694119515862,0.792184597821448,0,0.028319665426020987,-0.0003135574640551475,0.75,0.0003135574640551475,,-0.028065989809472676,0,0.0,SLA10,3.439128524883526,IND,,-0.02775243234541753,2,0.9783044492923086,,,0.983929819357143,0.9724781114740697,,,-1.4669139029675924,0.01891892379591868,,-0.48563129138913963
1,0.003616057895640757,0.0013003768826008355,0.9575781347034213,1,0.002752091528856564,-5.7608262917952825e-05,0.75,5.7608262917952825e-05,,-0.0023732892759578744,0,0.0,SLA20,8.097261056864681,IND,,-0.0023156810130399216,2,0.7610750735419018,,,0.7884040948858606,0.7462100894668166,,,-0.6003728647567931,0.003857071411743414,,-1.8307586924384356
1,0.3290422473542914,0.00952331416279334,0.976238507624145,0,0.32291535201855626,-0.00023179597516881367,0.75,0.00023179597516881367,,-0.31975072916666686,0,0.0,over5,4.854235333591383,IND,,-0.31951893319149804,2,0.9813796088952125,,,0.9859920713665663,0.9752439145974454,,,-1.591419723457869,0.200776029404261,,-0.8513139104803934
,,,,,,,0.702,,,,,,EN,,,9.030436465431933,,3,,0.9996563216185756,1.0075718310640451,,,0.9991638349079848,-0.049484652602191974,,,32.562004848298784,
,,,,,,,0.702,,,,,,SLA10,,,13.67482537239256,,3,,0.9834578368730202,1.0091114968391965,,,0.999149388308434,-0.042903779920218287,,,30.16156752218043,
,,,,,,,0.702,,,,,,SLA20,,,35.66600480430643,,3,,0.5263254466280693,0.6483806022470175,,,0.9994557313435742,-0.013466134639666586,,,31.90436745836067,
,,,,,,,0.702,,,,,,over5,,,12.198202748599279,,3,,0.9949285265703617,1.01040901188802,,,0.9993137667435701,-0.04749989113453608,,,32.50305854886012,
,,,,,,,0.705,,,,,,EN,,,3.8345572521744526,,3,,0.9999910819636941,1.0265443182816336,,,0.9973225458356693,-0.0646936784670113,,,17.274747950744942,
,,,,,,,0.705,,,,,,SLA10,,,5.360557788493232,,3,,0.9922132435542494,0.9944835089300373,,,0.9961693228983609,-0.02608314165814081,,,13.487208811058258,
,,,,,,,0.705,,,,,,SLA20,,,12.579535721235134,,3,,0.534820230794565,0.593316415634616,,,0.9963828425013161,0.10185143555271302,,,12.547402768648409,
,,,,,,,0.705,,,,,,over5,,,4.876508401325584,,3,,0.9987471945173372,0.979968974805513,,,0.9974526669355132,-0.06772180929645948,,,15.758045674246285,
,,,,,,,0.71,,,,,,EN,,,2.047709410406664,,3,,0.9999999006053821,0.996112726811788,,,0.9941518504976902,0.056915078123230795,,,10.87275873645975,
,,,,,,,0.71,,,,,,SLA10,,,2.8961933436823557,,3,,0.9977933754395067,0.98065118835094,,,0.9906482161475779,0.0813681306319315,,,8.323562757201934,
,,,,,,,0.71,,,,,,SLA20,,,6.993821030387196,,3,,0.5628442612252237,0.6494898647000642,,,0.9849062402897326,0.033824405588579506,,,6.694024420810022,
,,,,,,,0.71,,,,,,over5,,,2.627623763063229,,3,,0.999687873610332,0.9826383012754014,,,0.9940954024582158,0.09899109917167162,,,9.09762679255578,
,,,,,,,0.72,,,,,,EN,,,1.360489995709818,,3,,0.9999999956471423,1.0111064988893057,,,0.9832451039891247,-0.1868975580048104,,,6.463515802898887,
,,,,,,,0.72,,,,,,SLA10,,,1.7598208598473992,,3,,0.9993713792960209,1.014728150033926,,,0.9735836412349401,-0.14858066331550862,,,5.022604915853477,
,,,,,,,0.72,,,,,,SLA20,,,3.402315229698489,,3,,0.5856509389493274,0.6546056303153526,,,0.9270164152898527,-0.03598871760432541,,,3.331161777493432,
,,,,,,,0.72,,,,,,over5,,,1.6459478167051362,,3,,0.9998585098078905,1.0165703854507733,,,0.9802134125650481,-0.1561465057728658,,,5.2048503773844965,
,,,,,,,0.75,,,,,,EN,,,1.0262597854315385,,3,,0.9999999999969127,0.9958099376691765,,,0.9564545697818655,0.12130174242495907,,,3.056608303298766,
,,,,,,,0.75,,,,,,SLA10,,,1.0289496699570935,,3,,0.9999614680134116,0.9783044492923086,,,0.9034726729503556,0.05337358872635002,,,2.38282156209383,
,,,,,,,0.75,,,,,,SLA20,,,1.367695562200386,,3,,0.7533442190076212,0.7610750735419018,,,0.7616978744941216,0.10412160455157637,,,1.4791537731485538,
,,,,,,,0.75,,,,,,over5,,,1.0335575804803105,,3,,0.9999861180673093,0.9813796088952125,,,0.9413745979082653,0.09176662057460806,,,2.379059330303558,
1,0.6578232291807443,2.030930978946799e-12,2.2965402098979013e-10,0,0.6578232291787134,-0.008843437487953576,0.75,0.008843437487953576,1000,-0.666666666666667,0,0.0,EN,5.025553479703144,CRN,,-0.6578232291787134,4,0.9999999999969127,,,0.9999999999996845,0.9999999999873604,,,-6.423492946633517,0.10240895952465728,,-0.8806090172138374
1,0.027523947485418362,1.0605523753683122e-06,0.0019489593001448472,0,0.027522886933042993,-0.0005431028764296825,0.75,0.0005431028764296825,1000,-0.028065989809472676,0,0.0,SLA10,3.3196579040650542,CRN,,-0.027522886933042993,4,0.9999614680134116,,,0.9999788395295934,0.9999463971753018,,,-3.4664830379661025,0.007939714872856139,,-0.574155855917582
1,0.0026710374415861507,0.0006588268262143174,0.6459685085930708,1,0.0020122106153718333,-0.0003610786605860411,0.75,0.0003610786605860411,1000,-0.0023732892759578744,0,0.0,SLA20,8.658317458007588,CRN,,-0.0020122106153718333,4,0.7533442190076212,,,0.7745007116952212,0.7402141519189596,,,-0.7716654960120347,0.0026076203040967007,,-2.150797187112862
1,0.3124352632776406,4.337205295024127e-06,0.0005921794391693097,0,0.31243092607234557,-0.007319803094321287,0.75,0.007319803094321287,1000,-0.31975072916666686,0,0.0,over5,5.290089909334412,CRN,,-0.31243092607234557,4,0.9999861180673093,,,0.9999934415291105,0.9999724213065405,,,-3.702093880197136,0.08439303166879945,,-1.0507676758529834
1,0.6526659092164219,8.071321389024888e-14,5.764917660787369e-12,1,0.6526659092163412,-0.014000757450325807,0.75,0.014000757450325807,0,-0.666666666666667,0,0.0,EN,4.185078379487776,CRN,,-0.6526659092163412,4,0.9999999999998763,,,0.9999999999999913,0.9999999999994023,,,-6.877712700408923,0.09489577969395786,,-0.7132309784895368
1,0.027148426357122866,5.024700227597434e-07,0.000547014274516309,0,0.027147923887100106,-0.0009180659223725698,0.75,0.0009180659223725698,0,-0.028065989809472676,0,0.0,SLA10,3.041572149993574,CRN,,-0.027147923887100106,4,0.999981491744083,,,0.9999904533029115,0.9999731668273347,,,-3.636775253383138,0.007464834089443812,,-0.5273771791282674
1,0.0024825698674734867,0.0005543925331293895,0.5546673848277133,1,0.0019281773343440972,-0.00044511194161377717,0.75,0.00044511194161377717,0,-0.0023732892759578744,0,0.0,SLA20,8.077777851537418,CRN,,-0.0019281773343440972,4,0.7766860299107734,,,0.7962233131277603,0.7602498232775795,,,-0.8147063564630763,0.0023667144843634038,,-2.0272575490272975
1,0.30832784454945766,1.497878228839955e-06,0.00013109521366004337,0,0.3083263466712288,-0.011424382495438035,0.75,0.011424382495438035,0,-0.31975072916666686,0,0.0,over5,4.401417967018257,CRN,,-0.3083263466712288,4,0.9999951419300743,,,0.9999973439223507,0.999991138686393,,,-3.9339657363334,0.07837545299990341,,-0.8742489477862668
