block,config_id,payoff,exp,pair,model,proto_pair,scenario,sigma_Delta,mu_Delta,Delta,b_Delta,s,J,S,J_plus_S,J_over_JplusS,J_fraction,theory_mr,empirical_mr,deviation_pct,sanity_abs_err,sanity_rel_err
Exp05_diag,Exp05dg-all5_s16,OTM_K110,exp05_diag,,heston,,,0.001468,-0.01559284,,,-10.62182561307902,3.204915443131491e-30,,,,2.055376341405088e-28,0.01559284,0.01557025,0.14487418584426814,3.204915443131491e-30,3.204915443131491e-30
Exp05_diag,Exp05dg-all5_s16,OTM_K125,exp05_diag,,heston,,,0.001273,-0.01479719,,,-11.623872741555381,3.364646009648408e-35,,,,2.2738411885286382e-33,0.01479719,0.01479414,0.020612021606802866,3.364646009648408e-35,3.364646009648408e-35
Exp06,Exp06-G1,ATM,exp06,G1,heston,,,2.8e-05,-9.425e-05,,,-3.366071428571429,5.534392130504197e-09,,,,5.8714111293276014e-05,9.426e-05,9.473e-05,0.49862083598557483,4.465607869490625e-09,0.44656078694929374
Exp06,Exp06-G1,OTM_K110,exp06,G1,heston,,,2.7e-05,-9.949e-05,,,-3.684814814814815,1.49083847401029e-09,,,,1.4984807257114181e-05,9.949e-05,0.00010043,0.9448185747311211,1.49083847401029e-09,1.49083847401029e-09
Exp06,Exp06-G1,OTM_K125,exp06,G1,heston,,,2.4e-05,-9.426e-05,,,-3.9274999999999998,4.718197195798316e-10,,,,5.005513681093057e-06,9.426e-05,9.533e-05,1.1351580734139555,4.718197195798316e-10,4.718197195798316e-10
Exp06,Exp06-G2,ATM,exp06,G2,heston,,,4.5e-05,-7.795e-05,,,-1.732222222222222,1.5209759862003075e-06,,,,0.019131773411324625,7.95e-05,7.693e-05,3.232704402515718,2.9024013799689553e-08,0.018725170193348135
Exp06,Exp06-G2,OTM_K110,exp06,G2,heston,,,4.5e-05,-0.00010181,,,-2.2624444444444443,3.6764068041943696e-07,,,,0.0035990277084624275,0.00010215,0.00010192,0.22515907978463146,2.7640680419436825e-08,0.08129611888069652
Exp06,Exp06-G2,OTM_K125,exp06,G2,heston,,,4.1e-05,-0.00012769,,,-3.114390243902439,2.0799981766755414e-08,,,,0.00016286885730761424,0.00012771,0.00012918,1.1510453370918494,7.999817667386653e-10,0.03999908833689977
Exp06,Exp06-G3,ATM,exp06,G3,heston,,,0.000141,-0.0011264,,,-7.9886524822695035,2.3377015408797123e-20,,,,2.0753742372866763e-17,0.0011264,0.00112935,0.2618963068181879,2.3377015408797123e-20,2.3377015408797123e-20
Exp06,Exp06-G3,OTM_K110,exp06,G3,heston,,,0.000134,-0.00115133,,,-8.592014925373135,1.2989015030090046e-22,,,,1.1281748091416054e-19,0.00115133,0.00115633,0.4342803540253293,1.2989015030090046e-22,1.2989015030090046e-22
Exp06,Exp06-G3,OTM_K125,exp06,G3,heston,,,0.000112,-0.00105321,,,-9.403660714285714,6.141815822503438e-26,,,,5.83152061080263e-23,0.00105321,0.00105889,0.5393036526428752,6.141815822503438e-26,6.141815822503438e-26
Exp06,Exp06-H1,ATM,exp06,H1,heston,,,1.1e-05,-3.761e-05,,,-3.4190909090909094,1.769837103386301e-09,,,,4.704511173275654e-05,3.762e-05,3.779e-05,0.4518872939925478,8.230162896615297e-09,0.8230162896613982
Exp06,Exp06-H1,OTM_K110,exp06,H1,heston,,,1.1e-05,-3.972e-05,,,-3.610909090909091,8.230467037562609e-10,,,,2.0721216106653094e-05,3.972e-05,4.006e-05,0.8559919436052388,8.230467037562609e-10,8.230467037562609e-10
Exp06,Exp06-H1,OTM_K125,exp06,H1,heston,,,1e-05,-3.764e-05,,,-3.764,3.9653955708172713e-10,,,,1.053505730822867e-05,3.764e-05,3.802e-05,1.0095642933049875,3.9653955708172713e-10,3.9653955708172713e-10
