est,model,pair,payoff,n_seed,s,ratio,KS_p,KS_rej,AD_rej,skew,kurt
RF,kou,C,delta_ATM,200,-3.368780661141693,0.9999419404434108,0.926768373173585,0,0,0.13187059733102757,2.8424689214868293
RF,kou,C,digital_OTM110,200,-3.313341703255637,0.999926985003184,0.9907273328482415,0,0,0.12240554301014475,2.833662112014786
RF,kou,D,price_ATMcall,200,-3.3811570166871014,0.9999448551065337,0.8744666053356702,0,0,0.13615974968815744,2.761497538231713
RF,kou,D,delta_ATM,200,-3.37757217962387,0.9999440255417957,0.8775841635254348,0,0,0.13289673710481195,2.8116544565445203
RF,kou,D,digital_OTM110,200,-3.319989243007536,0.9999289550134065,0.9625684258842405,0,0,0.12577749071380476,2.824554571661754
GB,heston,A,price_ATMcall,200,-0.3673146975061034,0.46248687425094726,1.0005452645320597e-22,1,1,-3.688447562748836,18.4490294954161
GB,heston,A,delta_ATM,200,-0.32658840697746094,0.47223037864740375,2.711881151370005e-22,1,1,-3.699959148378449,19.871801049089022
GB,heston,A,digital_OTM110,200,-0.2719532101937836,0.481048559907186,3.029577335584106e-23,1,1,-3.200664358307945,17.375998778656655
GB,heston,B,price_ATMcall,200,-0.4544277275865799,0.5515427631870082,1.0338957319986749e-14,1,1,-3.158604511318717,14.601136780685627
GB,heston,B,delta_ATM,200,-0.4100888761716836,0.5621005446692386,9.121825437713997e-16,1,1,-3.0775666223164193,14.64471123647566
GB,heston,B,digital_OTM110,200,-0.360182093122597,0.5774816946904339,8.138702695181784e-17,1,1,-2.7274434965664187,13.297065817203421
GB,heston,C,price_ATMcall,200,-0.609260229257606,0.6920169779895278,2.5639348448228862e-08,1,1,-2.498814139964093,11.342650016359512
GB,heston,C,delta_ATM,200,-0.5218223195380861,0.6758133790278394,8.291106003993216e-07,1,1,-2.5236630147642454,12.70715947112134
GB,heston,C,digital_OTM110,200,-0.4367050284543781,0.6832119114575279,3.2558579303705153e-07,1,1,-2.1513859712616052,11.648514269576028
GB,heston,D,price_ATMcall,200,-0.9982531572815083,0.9062809535077494,0.0034173181291542246,1,1,-0.9134747188553592,3.4843647251642014
GB,heston,D,delta_ATM,200,-0.6043761470477348,0.8944995089417639,0.05942915129489801,0,1,-0.8334858632558219,3.773846667588065
GB,heston,D,digital_OTM110,200,-0.30798973818343683,0.9084964239158213,0.037832100654872414,1,1,-0.6785520103865772,3.8296012566524964
GB,kou,A,price_ATMcall,200,inf,nan,nan,0,0,nan,nan
GB,kou,A,delta_ATM,200,inf,nan,nan,0,0,nan,nan
GB,kou,A,digital_OTM110,200,inf,nan,nan,0,0,nan,nan
GB,kou,B,price_ATMcall,200,-0.2732034047551505,0.39326126767746894,2.168083969731952e-21,1,1,-5.935836186943402,48.45778388741052
GB,kou,B,delta_ATM,200,-0.23117265290885727,0.37890462223038734,7.034735976654276e-22,1,1,-5.590781229284554,46.08832060094697
GB,kou,B,digital_OTM110,200,-0.18147490503064814,0.34768685024271256,3.1010254879411977e-26,1,1,-5.177555899274565,43.386148898308186
GB,kou,C,price_ATMcall,200,-0.43235328850839166,0.5896841342028277,3.3760862753944485e-10,1,1,-3.6677546544114694,21.69016487440287
GB,kou,C,delta_ATM,200,-0.3573180399787205,0.5606922267554553,8.306228621110623e-11,1,1,-3.707550534580782,24.23148961873642
GB,kou,C,digital_OTM110,200,-0.26749623563389563,0.5275337417246317,9.926826101596321e-14,1,1,-3.4725235354649335,24.943946992556597
GB,kou,D,price_ATMcall,200,-0.6570085232636695,0.7896862200135236,7.23987679131575e-05,1,1,-1.6693655556321692,6.905827081892849
GB,kou,D,delta_ATM,200,-0.4916418561172075,0.7789460175450046,0.0001203778248251249,1,1,-1.2106835799577216,7.994684133530863
GB,kou,D,digital_OTM110,200,-0.3042385837574359,0.7306623519415236,6.053647316173148e-06,1,1,-0.5493658392999216,9.970106520172692
MC,heston,A,price_ATMcall,200,-0.06234575660086223,1.0002910750709393,0.7741710823917741,0,0,-0.10240339194016541,3.1280802679369266
MC,heston,A,delta_ATM,200,-0.047640910096742435,1.0077972269608568,0.44246406372271974,0,0,-0.22659707667149312,2.973625672113033
MC,heston,A,digital_OTM110,200,-0.04794599818152561,1.0091002424140636,0.809775725930981,0,0,-0.2323071375129352,2.8969410384350573
MC,heston,B,price_ATMcall,200,-0.2327699134982452,0.9844889923788802,0.4592419519327279,0,0,0.25120570097506545,3.1205241280059313
MC,heston,B,delta_ATM,200,-0.1626536585708339,0.996662193502308,0.9840198829172024,0,0,0.09697886033222015,3.0238120341848935
MC,heston,B,digital_OTM110,200,-0.14512152837947806,0.9935452110648818,0.8252669271340642,0,0,0.0578480411764576,3.0151615864956467
MC,heston,C,price_ATMcall,200,-0.3522810309470891,0.9996305821274158,0.7610892794364363,0,0,0.2073298904730479,3.3097684431679033
MC,heston,C,delta_ATM,200,-0.13047205696491726,0.9769214617377091,0.8557117794612809,0,0,-0.010113247056539735,3.227193745696935
MC,heston,C,digital_OTM110,200,-0.11507826754713953,0.9690279346562183,0.9458966244290478,0,0,-0.0771499716860964,3.349978917926812
MC,heston,D,price_ATMcall,200,-0.9553639095599785,1.0042919291464658,0.8635871468014242,0,0,0.04736178505476832,2.67361120233421
MC,heston,D,delta_ATM,200,-0.15510423247356064,1.0114440971398375,0.9945592914946871,0,0,0.11981978231045241,2.926084976632939
