block,config_id,payoff,n_seeds,lil_p,lil_rej,ks_std_p,skew,kurt
Exp03,Exp03-AB1-B,ATM,6,0.7944391338305903,0,0.9698047423673823,-0.5638372377363905,2.4357216951928025
Exp03,Exp03-AB1-B,OTM_K110,6,0.6267927830300088,0,0.9273950292678815,-0.4666548170846299,2.4052540240843276
Exp03,Exp03-AB1-B,OTM_K125,6,0.30333918294680057,0,0.7693230505584177,-0.6094783485893149,2.5747082781948425
Exp03,Exp03-AB1-C,ATM,6,0.8171563080782478,0,0.9742791603266849,-0.4778574353707278,2.3196853414543224
Exp03,Exp03-AB1-C,OTM_K110,6,0.8721394637591151,0,0.9833490540139539,-0.3885614166410876,2.3238012930188887
Exp03,Exp03-AB1-C,OTM_K125,6,0.4614725386760966,0,0.862955796375741,-0.5190863737385424,2.5000167581645965
Exp03,Exp03-AB1-D,ATM,6,0.7963369183452436,0,0.970195410717616,-0.15586955937362593,1.7612764763514002
Exp03,Exp03-AB1-D,OTM_K110,6,0.8068837632266807,0,0.9723102171513237,-0.05511351520374673,1.8144882288489046
Exp03,Exp03-AB1-D,OTM_K125,6,0.99,0,0.9997029064252775,-0.06982012457220531,1.949349473359532
Exp03,Exp03-AB1-E,ATM,6,0.4266375460261162,0,0.8440700036615738,1.2514419570624296,3.1813435209858394
Exp03,Exp03-AB1-E,OTM_K110,6,0.45003702965918235,0,0.8568811034227017,1.2559077803018925,3.161393427954203
Exp03,Exp03-AB1-E,OTM_K125,6,0.30779056535454613,0,0.7721947935452348,1.0436779835847467,2.7756107082190216
Exp03,Exp03-AB2-A,ATM,6,0.6641667140253853,0,0.9383876107681624,-0.6151982281254655,2.5972654141312956
Exp03,Exp03-AB2-A,OTM_K110,6,0.4183269918292703,0,0.8394009150359428,-0.6158826105170285,2.5608919151575207
Exp03,Exp03-AB2-A,OTM_K125,6,0.2930280282810753,0,0.7626331157824038,-0.7245783289999768,2.5819256007716764
Exp03,Exp03-AB2-B,ATM,6,0.8144571723086939,0,0.9737704299915609,-0.6424470258674793,2.6369413384664555
Exp03,Exp03-AB2-B,OTM_K110,6,0.5544369586916412,0,0.9031862950209848,-0.6464775862530465,2.613350577421243
Exp03,Exp03-AB2-B,OTM_K125,6,0.3975000408881674,0,0.8274380865472205,-0.756729872881437,2.6409726970529563
Exp03,Exp03-AB2-C,ATM,6,0.804757003361562,0,0.9718914183909227,-0.6043704953043895,2.5697996084067474
Exp03,Exp03-AB2-C,OTM_K110,6,0.8198018724246008,0,0.974771870846017,-0.6192962078067765,2.570534163355968
