model,pair,payoff,N,B,ratio_med,ratio_q25,ratio_q75,KS_rejrate,AD_rejrate,skew_med,kurt_med
heston,D,price_ATMcall,200,1,1.0,1.0,1.0,0.0,0.0,-0.1286754620451392,2.908581576076288
heston,D,delta_ATM,5,100,0.9999720671859944,0.9994912723930196,0.9999999786882903,0.0,0.0,-0.08217859611690122,2.1585152389855464
heston,D,delta_ATM,10,100,0.9999293641367295,0.9996641189616312,0.9999977521296881,0.0,0.05,-0.0363249275789964,2.2501288267239774
heston,D,delta_ATM,20,100,0.9999274780646491,0.9997473466406822,0.9999803304196182,0.0,0.07,-0.21883730468204088,2.721725683831062
heston,D,delta_ATM,50,100,0.9999407938663065,0.9998657473261237,0.9999757500859906,0.0,0.02,-0.24518977467414305,2.9503640594537925
heston,D,delta_ATM,100,100,0.9999338696145574,0.9999033049886852,0.9999624160088222,0.0,0.02,-0.2745103736801453,3.0778054700831614
heston,D,delta_ATM,200,1,0.9999308843395776,0.9999308843395776,0.9999308843395776,0.0,0.0,-0.28510589783919427,3.0998479254921096
heston,D,digital_OTM110,5,100,0.9979097603408972,0.9859042926095007,0.9999033394060794,0.0,0.0,-0.06429145566942335,1.742503561533784
heston,D,digital_OTM110,10,100,0.9987439474570751,0.9941287786800357,0.9998423033420245,0.0,0.03,-0.021406709270115436,2.1812429882176216
heston,D,digital_OTM110,20,100,0.9981504440752417,0.9962885141213136,0.9993176993049263,0.0,0.03,-0.06400910364943732,2.445683623722857
heston,D,digital_OTM110,50,100,0.9982745580331139,0.9972613274454033,0.9989650154592766,0.0,0.01,-0.1985898879762446,2.779432144433003
heston,D,digital_OTM110,100,100,0.9981842608817305,0.9975918177213602,0.9987844300779667,0.0,0.01,-0.1388968413129117,2.8647452338462855
heston,D,digital_OTM110,200,1,0.998217207617894,0.998217207617894,0.998217207617894,0.0,0.0,-0.16797538920524321,2.9659192267044334
kou,A,price_ATMcall,5,100,0.9999999932050938,0.9999960086196318,0.9999999999998235,0.0,0.0,-0.2429049020421195,1.9481621353984608
kou,A,price_ATMcall,10,100,0.9999999811639981,0.9999983465033208,0.999999999934156,0.0,0.05,-0.13086495738872994,2.328921019810446
kou,A,price_ATMcall,20,100,0.999999941174835,0.9999985817122403,0.9999999916400242,0.0,0.06,-0.08171440103603742,2.671527560323689
kou,A,price_ATMcall,50,100,0.9999998472497553,0.9999991984800618,0.9999999683476358,0.0,0.08,-0.1649747001093057,3.048651882435184
kou,A,price_ATMcall,100,100,0.9999998682856278,0.9999996556113289,0.9999999503579615,0.0,0.15,-0.21097884311895748,3.138431704910606
kou,A,price_ATMcall,200,1,0.9999998731776054,0.9999998731776054,0.9999998731776054,0.0,0.0,-0.21279591765383185,3.1750271252278828
kou,A,delta_ATM,5,100,0.9957890097489107,0.9827179514785537,0.9996543445381947,0.0,0.0,0.09655560918251366,2.063857344432589
kou,A,delta_ATM,10,100,0.998652809780407,0.994159317181398,0.9999183996782428,0.0,0.09,0.04235834025234522,2.2818934522305323
kou,A,delta_ATM,20,100,0.9968209795692282,0.9907436486870639,0.999334748480877,0.0,0.04,-0.016696301497149547,2.442442067009587
kou,A,delta_ATM,50,100,0.9980705654702806,0.9946049029528242,1.0056280051703597,0.0,0.02,-0.002458313763045078,3.0141335780847296
kou,A,delta_ATM,100,100,1.0025614258516449,0.9983769704906427,1.0058504423578785,0.0,0.0,0.05668985380556639,3.226640017780222
kou,A,delta_ATM,200,1,1.0018647319600096,1.0018647319600096,1.0018647319600096,0.0,0.0,0.02444750998286719,3.2856436345967883
kou,A,digital_OTM110,5,100,0.9669287703129714,0.895095284550319,0.9985590114872268,0.0,0.0,-0.04842882180528838,1.9324271468772438
kou,A,digital_OTM110,10,100,0.9875403133695703,0.9419776147363381,1.0192484625029912,0.0,0.07,-0.04779655811124467,2.526211987875956
kou,A,digital_OTM110,20,100,0.9952409071590663,0.9706328633884268,1.0156596588316826,0.0,0.09,0.08064429653062288,2.536250991890199
kou,A,digital_OTM110,50,100,1.0035763938439684,0.9905545384443626,1.0264629199071489,0.0,0.03,0.1620729482448282,3.2831311721387912
kou,A,digital_OTM110,100,100,1.0058167754469967,0.9941556550940355,1.0131193069866566,0.0,0.01,0.04930642240963021,3.5682960087898077
kou,A,digital_OTM110,200,1,1.004037140870142,1.004037140870142,1.004037140870142,0.0,0.0,0.054280820186696985,3.636310888109703
kou,B,price_ATMcall,5,100,0.9999999991631414,0.999999180166977,1.0,0.0,0.0,-0.14995323773014463,1.9736072588724505
kou,B,price_ATMcall,10,100,0.999999958923693,0.9999982204386016,0.9999999998997241,0.0,0.06,-0.036599718747469485,2.401682874633429
kou,B,price_ATMcall,20,100,0.9999999770861647,0.9999997446193987,0.9999999997489131,0.0,0.06,-0.15033733498952664,2.98232602808373
kou,B,price_ATMcall,50,100,0.999999931067833,0.9999996893185589,0.9999999908770392,0.0,0.09,-0.3244159245556062,3.6125845796650218
kou,B,price_ATMcall,100,100,0.9999999328469023,0.9999998101442993,0.9999999784082542,0.0,0.09,-0.33350365354869416,3.7646913426018465
kou,B,price_ATMcall,200,1,0.999999934865792,0.999999934865792,0.999999934865792,0.0,0.0,-0.3019707777282893,3.7613377699863144
kou,B,delta_ATM,5,100,0.9981835896123463,0.9900300054800494,0.9999798027709916,0.0,0.0,0.10386162135001924,1.9336203340848956
kou,B,delta_ATM,10,100,0.9961806527210516,0.9886699217286647,0.9996328291583301,0.0,0.04,-0.018210411190552264,2.4922660921034536
kou,B,delta_ATM,20,100,0.9984446675392188,0.9915781960887989,0.9999723283379542,0.0,0.12,0.03952002401636352,2.87519215270225
kou,B,delta_ATM,50,100,0.9993851786846022,0.9967587530906811,1.009405595626621,0.0,0.03,-0.020332930598596415,3.4207465064209064
kou,B,delta_ATM,100,100,1.0038800679181423,0.9994790994547484,1.0063837247435496,0.0,0.0,-0.0009391649877895799,3.725572894420824
kou,B,delta_ATM,200,1,1.0026292212368484,1.0026292212368484,1.0026292212368484,0.0,0.0,-0.05235977346349338,3.718194510674887
