model,block,exp,config_id,payoff,sigma_delta,mu_delta,Delta,b_Delta,J_hat,S_hat,empirical_mr,theory_mr,corrected,ratio_corrected,ratio_b5_raw
heston,Exp02,exp02,Exp02-G2,ATM,4.5e-05,-7.795e-05,-1.906725348162577e-05,-5.888274651837423e-05,1.5209759862003075e-06,5.888274651837423e-05,7.693e-05,7.95e-05,1.6526277495425466e-05,0.8667361301590224,0.9676
heston,Exp02,exp02,Exp02-G2,OTM_K110,4.5e-05,-0.00010181,-4.7177649888264174e-05,-5.463235011173583e-05,3.6764068041943696e-07,5.463235011173583e-05,0.00010192,0.00010215,4.692000920784474e-05,0.9945389250836013,0.9977
heston,Exp02,exp02,Exp02-G2,OTM_K125,4.1e-05,-0.00012769,-7.976021751919101e-05,-4.792978248080898e-05,2.0799981766755484e-08,4.792978248080898e-05,0.00012918,0.00012771,8.122941753742428e-05,1.0184202107758766,1.0115
heston,Exp02,exp02,Exp02-G3,ATM,0.000141,-0.0011264,-0.0009826491062722926,-0.0001437508937277075,2.33770154087969e-20,0.0001437508937277075,0.00112935,0.0011264,0.0009855991062722926,1.0030020889259148,1.0026
heston,Exp02,exp02,Exp02-G3,OTM_K110,0.000134,-0.00115133,-0.0010178196690084518,-0.00013351033099154828,1.2989015030089881e-22,0.00013351033099154828,0.00115633,0.00115133,0.0010228196690084516,1.0049124615609666,1.0043
heston,Exp02,exp02,Exp02-G3,OTM_K125,0.000112,-0.00105321,-0.0009372013093207466,-0.00011600869067925339,6.141815822503371e-26,0.00011600869067925339,0.00105889,0.00105321,0.0009428813093207467,1.0060605975936128,1.0054
heston,Exp03,exp03,Exp03-AA-A,ATM,4.3e-05,-0.00036254,-0.00032995158206299615,-3.258841793700386e-05,1.699530156135482e-22,3.258841793700386e-05,0.00035532,0.00036254,0.00032273158206299615,0.9781180015720563,0.9801
heston,Exp03,exp03,Exp03-AA-A,OTM_K110,4.1e-05,-0.00036813,-0.00033689947793862687,-3.123052206137312e-05,1.2209380078684875e-24,3.123052206137312e-05,0.00036147,0.00036813,0.0003302394779386269,0.9802314920736884,0.9819
heston,Exp03,exp03,Exp03-AA-A,OTM_K125,3.4e-05,-0.00033278,-0.00030486422910236546,-2.7915770897634566e-05,4.331604619675573e-28,2.7915770897634566e-05,0.00032717,0.00033278,0.00029925422910236543,0.9815983658807136,0.9831
heston,Exp03,exp03,Exp03-AA-B,ATM,0.000207,-0.00181652,-0.0016421740919256723,-0.00017434590807432777,3.916876879984611e-23,0.00017434590807432777,0.00179077,0.00181652,0.0016164240919256721,0.9843195675010286,0.9858
heston,Exp03,exp03,Exp03-AA-B,OTM_K110,0.000197,-0.00184429,-0.0016773908245093204,-0.00016689917549067958,1.612685258742123e-25,0.00016689917549067958,0.00182086,0.00184429,0.0016539608245093205,0.9860318778082897,0.9873
heston,Exp03,exp03,Exp03-AA-B,OTM_K125,0.000164,-0.00166973,-0.0015206192801209475,-0.00014911071987905246,3.8006550759923264e-29,0.00014911071987905246,0.00164958,0.00166973,0.0015004692801209476,0.986748819863446,0.9879
heston,Exp03,exp03,Exp03-AA-C,ATM,0.000391,-0.00363955,-0.003265751445223251,-0.0003737985547767491,5.336443539942885e-25,0.0003737985547767491,0.00354864,0.00363955,0.003174841445223251,0.9721626089661624,0.975
heston,Exp03,exp03,Exp03-AA-C,OTM_K110,0.000376,-0.00369454,-0.0033373114491413924,-0.00035722855085860766,3.2668522708023176e-27,0.00035722855085860766,0.00360969,0.00369454,0.0032524614491413924,0.9745753426693724,0.977
heston,Exp03,exp03,Exp03-AA-C,OTM_K125,0.000318,-0.00335061,-0.003031986083021648,-0.00031862391697835184,1.73911566621149e-30,0.00031862391697835184,0.00327783,0.00335061,0.002959206083021648,0.9759959320369082,0.9783
