model,pair,layer,payoff_id,k,VR_k,predicted_VR,diff_pct
heston,B,A,call_k=+0.00,300,1.0,1.0,0.0
heston,B,A,call_k=+0.05,1,0.687239,0.687239,0.0
heston,B,A,call_k=+0.05,2,0.896286,0.896286,0.0
heston,B,A,call_k=+0.05,3,0.903454,0.903454,0.0
heston,B,A,call_k=+0.05,5,0.979983,0.979983,0.0
heston,B,A,call_k=+0.05,10,0.982188,0.982188,0.0
heston,B,A,call_k=+0.05,20,0.990941,0.990941,0.0
heston,B,A,call_k=+0.05,50,0.998613,0.998613,0.0
heston,B,A,call_k=+0.05,300,1.0,1.0,0.0
heston,B,A,call_k=+0.10,1,0.698248,0.698248,0.0
heston,B,A,call_k=+0.10,2,0.903274,0.903274,0.0
heston,B,A,call_k=+0.10,3,0.913327,0.913327,0.0
heston,B,A,call_k=+0.10,5,0.98027,0.98027,0.0
heston,B,A,call_k=+0.10,10,0.982315,0.982315,0.0
heston,B,A,call_k=+0.10,20,0.990974,0.990974,0.0
heston,B,A,call_k=+0.10,50,0.998598,0.998598,0.0
heston,B,A,call_k=+0.10,300,1.0,1.0,0.0
heston,B,A,call_k=+0.15,1,0.701282,0.701282,0.0
heston,B,A,call_k=+0.15,2,0.905642,0.905642,0.0
heston,B,A,call_k=+0.15,3,0.919907,0.919907,0.0
heston,B,A,call_k=+0.15,5,0.980137,0.980137,0.0
heston,B,A,call_k=+0.15,10,0.982087,0.982087,0.0
heston,B,A,call_k=+0.15,20,0.990747,0.990747,0.0
heston,B,A,call_k=+0.15,50,0.998539,0.998539,0.0
heston,B,A,call_k=+0.15,300,1.0,1.0,0.0
heston,B,A,call_k=+0.20,1,0.695585,0.695585,0.0
heston,B,A,call_k=+0.20,2,0.901867,0.901867,0.0
heston,B,A,call_k=+0.20,3,0.922,0.922,0.0
heston,B,A,call_k=+0.20,5,0.979196,0.979196,0.0
heston,B,A,call_k=+0.20,10,0.981323,0.981323,0.0
heston,B,A,call_k=+0.20,20,0.990106,0.990106,0.0
heston,B,A,call_k=+0.20,50,0.998407,0.998407,0.0
heston,B,A,call_k=+0.20,300,1.0,1.0,0.0
heston,B,A,call_k=+0.30,1,0.663854,0.663854,0.0
heston,B,A,call_k=+0.30,2,0.875846,0.875846,0.0
heston,B,A,call_k=+0.30,3,0.913716,0.913716,0.0
heston,B,A,call_k=+0.30,5,0.972768,0.972768,0.0
heston,B,A,call_k=+0.30,10,0.976116,0.976116,0.0
heston,B,A,call_k=+0.30,20,0.987328,0.987328,0.0
heston,B,A,call_k=+0.30,50,0.99783,0.99783,0.0
heston,B,A,call_k=+0.30,300,1.0,1.0,0.0
heston,B,A,call_k=+0.50,1,0.54323,0.54323,0.0
heston,B,A,call_k=+0.50,2,0.747732,0.747732,0.0
heston,B,A,call_k=+0.50,3,0.839847,0.839847,0.0
heston,B,A,call_k=+0.50,5,0.918836,0.918836,0.0
heston,B,A,call_k=+0.50,10,0.929217,0.929217,0.0
heston,B,A,call_k=+0.50,20,0.960346,0.960346,0.0
heston,B,A,call_k=+0.50,50,0.992771,0.992771,0.0
heston,B,A,call_k=+0.50,300,1.0,1.0,0.0
heston,B,A,call_k=+0.60,1,0.469357,0.469357,0.0
heston,B,A,call_k=+0.60,2,0.652876,0.652876,0.0
heston,B,A,call_k=+0.60,3,0.771777,0.771777,0.0
heston,B,A,call_k=+0.60,5,0.859183,0.859183,0.0
heston,B,A,call_k=+0.60,10,0.875488,0.875488,0.0
heston,B,A,call_k=+0.60,20,0.921272,0.921272,0.0
heston,B,A,call_k=+0.60,50,0.982909,0.982909,0.0
heston,B,A,call_k=+0.60,300,1.0,1.0,0.0
heston,B,A,call_k=+0.70,1,0.392921,0.392921,0.0
heston,B,A,call_k=+0.70,2,0.545551,0.545551,0.0
heston,B,A,call_k=+0.70,3,0.684881,0.684881,0.0
heston,B,A,call_k=+0.70,5,0.774504,0.774504,0.0
heston,B,A,call_k=+0.70,10,0.797479,0.797479,0.0
heston,B,A,call_k=+0.70,20,0.856497,0.856497,0.0
heston,B,A,call_k=+0.70,50,0.95485,0.95485,0.0
heston,B,A,call_k=+0.70,300,1.0,1.0,0.0
heston,B,A,put_k=-0.05,1,0.622482,0.622482,0.0
heston,B,A,put_k=-0.05,2,0.884858,0.884858,0.0
heston,B,A,put_k=-0.05,3,0.940019,0.940019,0.0
heston,B,A,put_k=-0.05,5,0.980951,0.980951,0.0
heston,B,A,put_k=-0.05,10,0.990924,0.990924,0.0
heston,B,A,put_k=-0.05,20,0.995954,0.995954,0.0
heston,B,A,put_k=-0.05,50,0.999619,0.999619,0.0
heston,B,A,put_k=-0.05,300,1.0,1.0,0.0
heston,B,A,put_k=-0.10,1,0.622352,0.622352,0.0
heston,B,A,put_k=-0.10,2,0.888592,0.888592,0.0
heston,B,A,put_k=-0.10,3,0.948124,0.948124,0.0
heston,B,A,put_k=-0.10,5,0.980986,0.980986,0.0
heston,B,A,put_k=-0.10,10,0.990603,0.990603,0.0
heston,B,A,put_k=-0.10,20,0.995889,0.995889,0.0
heston,B,A,put_k=-0.10,50,0.999614,0.999614,0.0
heston,B,A,put_k=-0.10,300,1.0,1.0,0.0
heston,B,A,put_k=-0.15,1,0.615048,0.615048,0.0
heston,B,A,put_k=-0.15,2,0.886606,0.886606,0.0
heston,B,A,put_k=-0.15,3,0.95367,0.95367,0.0
heston,B,A,put_k=-0.15,5,0.980529,0.980529,0.0
heston,B,A,put_k=-0.15,10,0.99022,0.99022,0.0
heston,B,A,put_k=-0.15,20,0.995682,0.995682,0.0
heston,B,A,put_k=-0.15,50,0.999598,0.999598,0.0
heston,B,A,put_k=-0.15,300,1.0,1.0,0.0
heston,B,A,put_k=-0.20,1,0.601829,0.601829,0.0
heston,B,A,put_k=-0.20,2,0.878491,0.878491,0.0
heston,B,A,put_k=-0.20,3,0.956391,0.956391,0.0
heston,B,A,put_k=-0.20,5,0.979221,0.979221,0.0
heston,B,A,put_k=-0.20,10,0.98979,0.98979,0.0
heston,B,A,put_k=-0.20,20,0.995286,0.995286,0.0
heston,B,A,put_k=-0.20,50,0.999567,0.999567,0.0
heston,B,A,put_k=-0.20,300,1.0,1.0,0.0
heston,B,A,put_k=-0.30,1,0.565584,0.565584,0.0
heston,B,A,put_k=-0.30,2,0.848399,0.848399,0.0
heston,B,A,put_k=-0.30,3,0.954214,0.954214,0.0
heston,B,A,put_k=-0.30,5,0.972462,0.972462,0.0
heston,B,A,put_k=-0.30,10,0.987631,0.987631,0.0
heston,B,A,put_k=-0.30,20,0.994246,0.994246,0.0
heston,B,A,put_k=-0.30,50,0.999456,0.999456,0.0
heston,B,A,put_k=-0.30,300,1.0,1.0,0.0
heston,B,A,put_k=-0.50,1,0.480024,0.480024,0.0
heston,B,A,put_k=-0.50,2,0.753979,0.753979,0.0
heston,B,A,put_k=-0.50,3,0.917776,0.917776,0.0
heston,B,A,put_k=-0.50,5,0.933562,0.933562,0.0
heston,B,A,put_k=-0.50,10,0.972187,0.972187,0.0
heston,B,A,put_k=-0.50,20,0.988017,0.988017,0.0
heston,B,A,put_k=-0.50,50,0.998863,0.998863,0.0
heston,B,A,put_k=-0.50,300,1.0,1.0,0.0
heston,B,A,put_k=-0.60,1,0.436689,0.436689,0.0
heston,B,A,put_k=-0.60,2,0.700447,0.700447,0.0
heston,B,A,put_k=-0.60,3,0.885601,0.885601,0.0
heston,B,A,put_k=-0.60,5,0.900627,0.900627,0.0
heston,B,A,put_k=-0.60,10,0.955719,0.955719,0.0
heston,B,A,put_k=-0.60,20,0.979439,0.979439,0.0
heston,B,A,put_k=-0.60,50,0.998169,0.998169,0.0
heston,B,A,put_k=-0.60,300,1.0,1.0,0.0
heston,B,A,put_k=-0.70,1,0.393928,0.393928,0.0
heston,B,A,put_k=-0.70,2,0.64716,0.64716,0.0
heston,B,A,put_k=-0.70,3,0.847356,0.847356,0.0
heston,B,A,put_k=-0.70,5,0.861401,0.861401,0.0
heston,B,A,put_k=-0.70,10,0.932827,0.932827,0.0
heston,B,A,put_k=-0.70,20,0.965104,0.965104,0.0
heston,B,A,put_k=-0.70,50,0.996886,0.996886,0.0
heston,B,A,put_k=-0.70,300,1.0,1.0,0.0
heston,C,A,call_k=+0.00,1,0.653621,0.653621,0.0
heston,C,A,call_k=+0.00,2,0.883898,0.883898,0.0
heston,C,A,call_k=+0.00,3,0.889665,0.889665,0.0
heston,C,A,call_k=+0.00,5,0.978825,0.978825,0.0
heston,C,A,call_k=+0.00,10,0.98148,0.98148,0.0
heston,C,A,call_k=+0.00,20,0.989766,0.989766,0.0
heston,C,A,call_k=+0.00,50,0.998561,0.998561,0.0
heston,C,A,call_k=+0.00,300,1.0,1.0,0.0
heston,C,A,call_k=+0.05,1,0.675151,0.675151,0.0
heston,C,A,call_k=+0.05,2,0.895834,0.895834,0.0
heston,C,A,call_k=+0.05,3,0.903176,0.903176,0.0
heston,C,A,call_k=+0.05,5,0.979416,0.979416,0.0
heston,C,A,call_k=+0.05,10,0.982026,0.982026,0.0
heston,C,A,call_k=+0.05,20,0.990085,0.990085,0.0
heston,C,A,call_k=+0.05,50,0.998587,0.998587,0.0
heston,C,A,call_k=+0.05,300,1.0,1.0,0.0
heston,C,A,call_k=+0.10,1,0.686277,0.686277,0.0
heston,C,A,call_k=+0.10,2,0.903142,0.903142,0.0
heston,C,A,call_k=+0.10,3,0.913172,0.913172,0.0
heston,C,A,call_k=+0.10,5,0.979702,0.979702,0.0
heston,C,A,call_k=+0.10,10,0.982142,0.982142,0.0
heston,C,A,call_k=+0.10,20,0.990113,0.990113,0.0
heston,C,A,call_k=+0.10,50,0.998571,0.998571,0.0
heston,C,A,call_k=+0.10,300,1.0,1.0,0.0
heston,C,A,call_k=+0.15,1,0.689536,0.689536,0.0
heston,C,A,call_k=+0.15,2,0.906018,0.906018,0.0
heston,C,A,call_k=+0.15,3,0.919992,0.919992,0.0
heston,C,A,call_k=+0.15,5,0.979635,0.979635,0.0
heston,C,A,call_k=+0.15,10,0.981924,0.981924,0.0
heston,C,A,call_k=+0.15,20,0.989876,0.989876,0.0
heston,C,A,call_k=+0.15,50,0.998511,0.998511,0.0
heston,C,A,call_k=+0.15,300,1.0,1.0,0.0
heston,C,A,call_k=+0.20,1,0.684218,0.684218,0.0
heston,C,A,call_k=+0.20,2,0.902996,0.902996,0.0
heston,C,A,call_k=+0.20,3,0.922456,0.922456,0.0
heston,C,A,call_k=+0.20,5,0.978759,0.978759,0.0
heston,C,A,call_k=+0.20,10,0.981209,0.981209,0.0
heston,C,A,call_k=+0.20,20,0.989219,0.989219,0.0
heston,C,A,call_k=+0.20,50,0.998382,0.998382,0.0
heston,C,A,call_k=+0.20,300,1.0,1.0,0.0
heston,C,A,call_k=+0.30,1,0.653635,0.653635,0.0
heston,C,A,call_k=+0.30,2,0.879214,0.879214,0.0
heston,C,A,call_k=+0.30,3,0.915219,0.915219,0.0
heston,C,A,call_k=+0.30,5,0.972588,0.972588,0.0
heston,C,A,call_k=+0.30,10,0.976292,0.976292,0.0
heston,C,A,call_k=+0.30,20,0.98637,0.98637,0.0
heston,C,A,call_k=+0.30,50,0.997817,0.997817,0.0
heston,C,A,call_k=+0.30,300,1.0,1.0,0.0
heston,C,A,call_k=+0.50,1,0.537042,0.537042,0.0
heston,C,A,call_k=+0.50,2,0.758123,0.758123,0.0
heston,C,A,call_k=+0.50,3,0.844974,0.844974,0.0
heston,C,A,call_k=+0.50,5,0.920961,0.920961,0.0
heston,C,A,call_k=+0.50,10,0.931746,0.931746,0.0
heston,C,A,call_k=+0.50,20,0.958812,0.958812,0.0
heston,C,A,call_k=+0.50,50,0.992955,0.992955,0.0
heston,C,A,call_k=+0.50,300,1.0,1.0,0.0
heston,C,A,call_k=+0.60,1,0.465304,0.465304,0.0
heston,C,A,call_k=+0.60,2,0.666293,0.666293,0.0
heston,C,A,call_k=+0.60,3,0.778617,0.778617,0.0
heston,C,A,call_k=+0.60,5,0.863466,0.863466,0.0
heston,C,A,call_k=+0.60,10,0.880153,0.880153,0.0
heston,C,A,call_k=+0.60,20,0.919559,0.919559,0.0
heston,C,A,call_k=+0.60,50,0.983588,0.983588,0.0
heston,C,A,call_k=+0.60,300,1.0,1.0,0.0
heston,C,A,call_k=+0.70,1,0.390282,0.390282,0.0
heston,C,A,call_k=+0.70,2,0.56038,0.56038,0.0
heston,C,A,call_k=+0.70,3,0.692681,0.692681,0.0
heston,C,A,call_k=+0.70,5,0.781119,0.781119,0.0
heston,C,A,call_k=+0.70,10,0.804548,0.804548,0.0
heston,C,A,call_k=+0.70,20,0.855094,0.855094,0.0
heston,C,A,call_k=+0.70,50,0.957015,0.957015,0.0
heston,C,A,call_k=+0.70,300,1.0,1.0,0.0
heston,C,A,put_k=-0.05,1,0.594743,0.594743,0.0
heston,C,A,put_k=-0.05,2,0.877459,0.877459,0.0
heston,C,A,put_k=-0.05,3,0.934119,0.934119,0.0
heston,C,A,put_k=-0.05,5,0.979162,0.979162,0.0
heston,C,A,put_k=-0.05,10,0.990239,0.990239,0.0
heston,C,A,put_k=-0.05,20,0.995645,0.995645,0.0
heston,C,A,put_k=-0.05,50,0.999595,0.999595,0.0
heston,C,A,put_k=-0.05,300,1.0,1.0,0.0
heston,C,A,put_k=-0.10,1,0.595176,0.595176,0.0
heston,C,A,put_k=-0.10,2,0.881156,0.881156,0.0
heston,C,A,put_k=-0.10,3,0.942889,0.942889,0.0
heston,C,A,put_k=-0.10,5,0.979258,0.979258,0.0
heston,C,A,put_k=-0.10,10,0.98989,0.98989,0.0
heston,C,A,put_k=-0.10,20,0.995586,0.995586,0.0
heston,C,A,put_k=-0.10,50,0.99959,0.99959,0.0
heston,C,A,put_k=-0.10,300,1.0,1.0,0.0
heston,C,A,put_k=-0.15,1,0.588525,0.588525,0.0
heston,C,A,put_k=-0.15,2,0.878944,0.878944,0.0
heston,C,A,put_k=-0.15,3,0.948927,0.948927,0.0
heston,C,A,put_k=-0.15,5,0.9788,0.9788,0.0
heston,C,A,put_k=-0.15,10,0.989501,0.989501,0.0
heston,C,A,put_k=-0.15,20,0.995379,0.995379,0.0
heston,C,A,put_k=-0.15,50,0.999573,0.999573,0.0
heston,C,A,put_k=-0.15,300,1.0,1.0,0.0
heston,C,A,put_k=-0.20,1,0.576086,0.576086,0.0
heston,C,A,put_k=-0.20,2,0.870442,0.870442,0.0
heston,C,A,put_k=-0.20,3,0.95196,0.95196,0.0
heston,C,A,put_k=-0.20,5,0.977439,0.977439,0.0
heston,C,A,put_k=-0.20,10,0.989049,0.989049,0.0
heston,C,A,put_k=-0.20,20,0.994974,0.994974,0.0
heston,C,A,put_k=-0.20,50,0.99954,0.99954,0.0
heston,C,A,put_k=-0.20,300,1.0,1.0,0.0
heston,C,A,put_k=-0.30,1,0.541668,0.541668,0.0
heston,C,A,put_k=-0.30,2,0.839283,0.839283,0.0
heston,C,A,put_k=-0.30,3,0.950038,0.950038,0.0
heston,C,A,put_k=-0.30,5,0.970351,0.970351,0.0
heston,C,A,put_k=-0.30,10,0.986759,0.986759,0.0
heston,C,A,put_k=-0.30,20,0.993894,0.993894,0.0
heston,C,A,put_k=-0.30,50,0.999424,0.999424,0.0
heston,C,A,put_k=-0.30,300,1.0,1.0,0.0
heston,C,A,put_k=-0.50,1,0.459349,0.459349,0.0
heston,C,A,put_k=-0.50,2,0.742956,0.742956,0.0
heston,C,A,put_k=-0.50,3,0.912724,0.912724,0.0
heston,C,A,put_k=-0.50,5,0.929605,0.929605,0.0
heston,C,A,put_k=-0.50,10,0.970548,0.970548,0.0
heston,C,A,put_k=-0.50,20,0.987609,0.987609,0.0
heston,C,A,put_k=-0.50,50,0.99881,0.99881,0.0
heston,C,A,put_k=-0.50,300,1.0,1.0,0.0
heston,C,A,put_k=-0.60,1,0.417378,0.417378,0.0
heston,C,A,put_k=-0.60,2,0.689051,0.689051,0.0
heston,C,A,put_k=-0.60,3,0.879708,0.879708,0.0
heston,C,A,put_k=-0.60,5,0.89542,0.89542,0.0
heston,C,A,put_k=-0.60,10,0.953489,0.953489,0.0
heston,C,A,put_k=-0.60,20,0.978935,0.978935,0.0
heston,C,A,put_k=-0.60,50,0.9981,0.9981,0.0
