seed,coupling,pair,payoff,kurt,kurt_nonfisher,skew,lilliefors_rej,ad_rej,ratio,sigma_delta,mu_delta,abs_s,atom
2,coupled,A,OTM_call_1.10,-0.043,2.957,-0.1306,False,False,0.9876,4.676e-05,-0.00037845,8.0933,0.0
2,coupled,A,OTM_call_1.25,0.0034,3.0034,-0.1556,False,False,0.991,3.945e-05,-0.00034138,8.6531,0.0
2,coupled,A,OTM_put_0.90,-0.0984,2.9016,-0.5278,True,True,0.9978,2.534e-05,-0.00029636,11.6975,0.0
2,independent,A,ATM_call,0.2416,3.2416,-0.2329,False,False,0.9915,0.00485986,-0.00068772,0.1415,0.0
2,independent,A,OTM_call_1.10,0.3156,3.3156,-0.2604,False,False,1.006,0.0049017,-0.00065826,0.1343,0.0
2,independent,A,OTM_call_1.25,0.3856,3.3856,-0.2846,False,False,1.0245,0.00448269,-0.00056009,0.1249,0.0
2,independent,A,OTM_put_0.90,0.1162,3.1162,-0.3547,False,False,1.0847,0.00427348,-0.00010722,0.0251,0.0
2,coupled,B,ATM_call,-0.5693,2.4307,-0.0274,False,False,0.9707,0.00024022,-0.00187554,7.8075,0.0
2,coupled,B,OTM_call_1.10,-0.5838,2.4162,-0.0053,False,False,0.9741,0.00022657,-0.00189502,8.3639,0.0
2,coupled,B,OTM_call_1.25,-0.5307,2.4693,-0.0284,False,False,0.9788,0.00019127,-0.00171145,8.948,0.0
2,coupled,B,OTM_put_0.90,0.3125,3.3125,-0.6436,True,True,1.0014,0.00012312,-0.00147088,11.9468,0.0
2,independent,B,ATM_call,0.2177,3.2177,-0.2128,False,False,0.9313,0.00484485,-0.00216554,0.447,0.0
2,independent,B,OTM_call_1.10,0.2956,3.2956,-0.2413,False,False,0.9355,0.00488513,-0.00215262,0.4406,0.0
2,independent,B,OTM_call_1.25,0.369,3.369,-0.2667,False,False,0.9434,0.00447334,-0.00191139,0.4273,0.0
2,independent,B,OTM_put_0.90,0.138,3.138,-0.3516,False,False,0.9981,0.00425765,-0.00128302,0.3013,0.0
2,coupled,C,ATM_call,-0.5554,2.4446,-0.0611,False,False,0.9687,0.00048194,-0.00374705,7.775,0.0
2,coupled,C,OTM_call_1.10,-0.5456,2.4544,-0.0367,False,False,0.9724,0.0004542,-0.00378675,8.3372,0.0
2,coupled,C,OTM_call_1.25,-0.5061,2.4939,-0.0346,False,False,0.9774,0.00038402,-0.00342691,8.9237,0.0
2,coupled,C,OTM_put_0.90,0.3204,3.3204,-0.5761,True,True,1.0052,0.00022433,-0.00292985,13.0604,0.0
2,independent,C,ATM_call,0.2194,3.2194,-0.1851,False,False,0.8642,0.00485399,-0.00399697,0.8234,0.0
2,independent,C,OTM_call_1.10,0.2983,3.2983,-0.214,False,False,0.8647,0.00489066,-0.00400634,0.8192,0.0
2,independent,C,OTM_call_1.25,0.3722,3.3722,-0.2403,False,False,0.8687,0.00448208,-0.00359469,0.802,0.0
2,independent,C,OTM_put_0.90,0.1636,3.1636,-0.3454,False,False,0.9091,0.00424802,-0.00274699,0.6467,0.0
2,coupled,D,ATM_call,-0.4474,2.5526,-0.1567,True,False,0.9784,0.00117003,-0.01065775,9.1089,0.0
2,coupled,D,OTM_call_1.10,-0.4044,2.5956,-0.1193,False,False,0.9817,0.00111346,-0.01081492,9.7129,0.0
2,coupled,D,OTM_call_1.25,-0.334,2.666,-0.0934,False,False,0.9861,0.00094926,-0.00988788,10.4164,0.0
