cell_id,pair,config_id,block,family,knob,s_cal,bin,ratio_V1,V2_median,V2_q10,V2_q90,err_folded,err_naive,lillie_p,ex_kurt,se_floor_eval,se_floor_sigma,se_floor_pred,theta,k,s_target,bisect,anchor,y0,width,strike,instrument,mu_hat,sigma_hat,theory_mr,empirical_mr,n_cal,n_eval
P2-R-th0.05_k1,P2,Exp05ax-kappa4,Exp05_axis,R,th0.05_k1,0.050000000000001515,B1,1.0220329215181987,1.0171011271706876,0.9411114983212298,1.1619388684332181,0.021557937180212833,0.9387617683522786,0.9346588554559494,-0.1207143427493933,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.567090795217338,1.0,0.05,,,,,,,1.8754137762492996e-05,0.00037508275524984855,0.00029964675244542095,0.00030624884582523403,150,50
P2-R-th0.15_k2,P2,Exp05ax-kappa4,Exp05_axis,R,th0.15_k2,0.15000000000000188,B1,0.9866751973523543,0.9646044825612599,0.8477046651432628,1.1454629872659303,0.013504750786683933,0.8115797869727459,0.4659404153861245,0.19164316983133345,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5589472806930424,2.0,0.15,,,,,,,5.996817108595278e-05,0.00039978780723968013,0.000322566381361699,0.0003182682479892891,150,50
P2-R-th0.15_k1,P2,Exp05ax-kappa4,Exp05_axis,R,th0.15_k1,0.15000000000000557,B1,1.004625273651078,0.9936865448706281,0.9279727012094685,1.1165850097980596,0.004603978988372827,0.8149463727921181,0.9665022348624132,-0.1076234247422776,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5595801004313161,1.0,0.15,,,,,,,5.676560053986863e-05,0.00037843733693244345,0.00030533988314774315,0.0003067521636638896,150,50
P2-R-th0.2000_k1_bisect,P2,Exp05ax-kappa4,Exp05_axis,R,th0.2000_k1_bisect,0.19999999999999946,B1,0.9947524640034843,0.997113438824846,0.9105363786459406,1.0919728765055021,0.005275217892295,0.7529396730041725,0.9318543882449564,-0.10077265872058438,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.555773026478202,1.0,0.2,True,,,,,,7.603203058135547e-05,0.00038016015290677843,0.0003093702539734622,0.00030774682242948526,150,50
P2-R-th0.2000_k2_bisect,P2,Exp05ax-kappa4,Exp05_axis,R,th0.2000_k2_bisect,0.200000000000011,B1,0.9839273052897587,0.9658849964473948,0.840593757910874,1.12066062346092,0.016335246134375783,0.7502215176717307,0.4950172697600004,0.1922397704422134,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5549459849234548,2.0,0.2,True,,,,,,8.021729738574826e-05,0.00040108648692871923,0.00032639988009708473,0.0003211537544708249,150,50
P2-R-th0.25_k1,P2,Exp05ax-kappa4,Exp05_axis,R,th0.25_k1,0.25000000000000033,B2,0.9829802213336586,0.997731548235158,0.8929854089819566,1.0935222746693485,0.017314467063487604,0.6908570623807629,0.9512703489943124,-0.09371808973119578,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5519301525041476,1.0,0.25,,,,,,,9.547851504208084e-05,0.0003819140601683228,0.00031419664765456196,0.00030884909025377487,150,50
P2-R-th0.25_k2,P2,Exp05ax-kappa4,Exp05_axis,R,th0.25_k2,0.25000000000000117,B2,0.9805908714518354,0.9681504580057303,0.8323825594175391,1.0947004261740367,0.019793299237456624,0.6901037914061166,0.541143964217779,0.1929938339580044,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5509173973729575,2.0,0.25,,,,,,,0.00010060323940314714,0.00040241295761258666,0.00033106087322081574,0.0003246352701752053,150,50
P2-R-th0.3250_k1_bisect,P2,Exp05ax-kappa4,Exp05_axis,R,th0.3250_k1_bisect,0.32500000000000007,B2,0.9625755552803859,0.9849623276304003,0.8800854551319272,1.088511264590859,0.038879487967791726,0.5978878162578738,0.9321076440111422,-0.08275405446893913,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.546096478419356,1.0,0.325,True,,,,,,0.00012499645732959473,0.0003846044840910606,0.00032293539176031,0.00031084971404336933,150,50
P2-R-th0.3250_k2_bisect,P2,Exp05ax-kappa4,Exp05_axis,R,th0.3250_k2_bisect,0.3250000000000001,B2,0.9717610709098552,0.96738282293193,0.8230322517402631,1.059907497498943,0.0290595393615684,0.6016887585461925,0.6761127898969481,0.19443103272497364,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5448213256569179,2.0,0.325,True,,,,,,0.00013144810056482176,0.00040445569404560524,0.0003396035756446903,0.00033001353435330025,150,50
P2-R-th0.40_k1,P2,Exp05ax-kappa4,Exp05_axis,R,th0.40_k1,0.3999999999999998,B2,0.9532721427805569,0.9721513824795389,0.8847218270206849,1.071615544353881,0.04901838113421064,0.5125819089311069,0.9073869252994985,-0.07133181484905737,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5401763941152675,1.0,0.4,,,,,,,0.00015494727479517796,0.0003873681869879451,0.0003334766237550691,0.0003178939756942203,150,50
