family,gamma1,gamma2,s,mu,sigma,E_true,m_folded,delta,delta_rel,ratio_true,W1,bound_ok,slack,C3,C4,E_edge,edge_valid,edge_capture,ratio_edge
t20,0.0,0.375,0.6,0.6,1.0,0.9313908006871184,0.9373454644835111,-0.005954663796392645,-0.0063933032106390664,0.9936473114534419,0.020223338167207505,True,0.294445147836584,-0.39986952347015975,-0.42652749170150395,0.930680972425675,True,0.8807945694812516,0.9928900364802978
t20,0.0,0.375,0.8,0.8,1.0,1.0373917299484179,1.0404144677895306,-0.0030227378411127326,-0.002913786329550778,0.9970946791546115,0.020223338167207505,True,0.1494677988431284,-0.4635064844183726,-0.2085779179882679,1.037155437820964,True,0.9218284416729559,0.9968675656966874
t20,0.0,0.375,1.0,1.0,1.0,1.1663956824497312,1.1666309411753726,-0.00023525872564134076,-0.0002016971849100443,0.9997983434886406,0.020223338167207505,True,0.011633031287723649,-0.48394144903828695,2.4399969891786277e-16,1.1666309411753726,True,0.0,1.0
t20,0.0,0.375,1.5,1.5,1.0,1.5627187608552116,1.5586135875252092,0.004105173330002376,0.002626943140911538,1.0026338621470128,0.020223338167207505,True,0.20299187483592526,-0.38855278699767537,0.3237939891647291,1.563672868605908,True,0.7675840521218785,1.003246013714491
t20,0.0,0.375,2.0,2.0,1.0,2.0212908198186517,2.0169814052336594,0.004309414584992233,0.002132011159769117,1.0021365663430561,0.020223338167207505,True,0.21309115979576623,-0.2159638660527523,0.3239457990791286,2.022043058344271,True,0.8254429898114628,1.0025095189759694
t20,0.0,0.375,3.0,3.0,1.0,3.002012681195941,3.000764308634096,0.00124837256184529,0.0004158451993440493,1.0004160181985147,0.020223338167207505,True,0.06172930262668247,-0.02659109047162794,0.07090957459100765,3.0018722707370804,True,0.8875251962818229,1.0003692266332935
t20,0.0,0.375,5.0,5.0,1.0,5.0000157978111295,5.00000010692331,1.569088781927519e-05,3.1381676486190767e-06,1.0000031381774968,0.020223338167207505,True,0.0007758802077847978,-1.4867195146263237e-05,7.136253670787438e-05,5.000001221962946,True,0.07106287729400274,1.0000002230079224
t50,0.0,0.13043478260869565,0.0,0.0,1.0,0.7937400141809449,0.7978845608028654,-0.004144546621920542,-0.005221541749028833,0.9948055811259838,0.007757985971062153,True,0.5342297134049997,0.0,-0.7978845608028655,0.7935482316680672,True,0.9537265398672754,0.9945652173913043
t50,0.0,0.13043478260869565,0.05,0.05,1.0,0.7947526353758783,0.7988817087733653,-0.004129073397487026,-0.005195419572952006,0.9948314332996471,0.007757985971062153,True,0.5322352235346607,-0.03984439140947664,-0.7948956086190542,0.7945616239439139,True,0.9537398797317174,0.9945923347824741
t50,0.0,0.13043478260869565,0.1,0.1,1.0,0.7977878122995556,0.8018706624094294,-0.004082850109873748,-0.005117714318178513,0.9949083433260848,0.007757985971062153,True,0.5262770679275618,-0.07939050949540263,-0.7859660440044833,0.7975991078224485,True,0.9537811891132574,0.9946730130091729
t50,0.0,0.13043478260869565,0.15,0.15,1.0,0.8028375071686538,0.8068439695268507,-0.004006462358196905,-0.004990377657275121,0.9950344025492979,0.007757985971062153,True,0.5164307299782829,-0.11834379927236649,-0.771207091924923,0.8026526266359544,True,0.9538544191433292,0.9948052621706348
t50,0.0,0.13043478260869565,0.25,0.25,1.0,0.8189219848372054,0.8226893964471603,-0.0037674116099549737,-0.004600452399264751,0.9954206148441626,0.007757985971062153,True,0.4856172238526456,-0.19333405840142454,-0.7250027190053427,0.8187491642786531,True,0.9541275081024811,0.9952105470357058
t50,0.0,0.13043478260869565,0.4,0.4,1.0,0.8576597640794442,0.860877673894906,-0.0032179098154617725,-0.0037519654649016514,0.9962620591600397,0.007757985971062153,True,0.41478675360651696,-0.2946161122426585,-0.6186938357095833,0.8575152073964843,True,0.9550774598264715,0.9960941413624903
t50,0.0,0.13043478260869565,0.6,0.6,1.0,0.9351189914327896,0.9373454644835111,-0.0022264730507214336,-0.002380951591315701,0.9976247038737759,0.007757985971062153,True,0.2869911158677444,-0.39986952347015975,-0.42652749170150395,0.9350273802894812,True,0.9588536931633719,0.9975269692105384
t50,0.0,0.13043478260869565,0.8,0.8,1.0,1.0393095441242242,1.0404144677895306,-0.0011049236653064565,-0.0010631324147393664,0.998937996635462,0.007757985971062153,True,0.14242403497865316,-0.4635064844183726,-0.2085779179882679,1.0392808921482901,True,0.9740688186580747,0.9989104576336305
t50,0.0,0.13043478260869565,1.0,1.0,1.0,1.1665966605951643,1.1666309411753726,-3.428058020826796e-05,-2.9385117724217545e-05,0.9999706157457355,0.007757985971062153,True,0.004418747383165811,-0.48394144903828695,2.4399969891786277e-16,1.1666309411753726,True,0.0,1.0
t50,0.0,0.13043478260869565,1.5,1.5,1.0,1.5602435486297965,1.5586135875252092,0.0016299611045873519,0.001044683764928098,1.0010457762704195,0.007757985971062153,True,0.21010106368678988,-0.38855278699767537,0.3237939891647291,1.5603733374663218,True,0.9203730468414365,1.0011290482485187
t50,0.0,0.13043478260869565,2.0,2.0,1.0,2.0186435094386876,2.0169814052336594,0.0016621042050282142,0.0008233767860727355,1.0008240552940724,0.007757985971062153,True,0.2142442911379297,-0.2159638660527523,0.3239457990791286,2.0187419802286546,True,0.9407553451407875,1.0008728761655545
