source,cell,s,gamma1,gamma2,ratio_obs,ratio_pred_edge,ratio_pred_null,caveat
nn_suite,Exp02/Exp02-G1/OTM_K110,3.684814814814815,0.122389518112795,-0.9432541846489664,1.0094,0.9998611268382094,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-G1/OTM_K125,3.9275,0.1161542868247641,-0.8648064458442719,1.0114,0.9999458760172222,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-G2/ATM,1.732222222222222,-0.398582503137519,-0.5817600662160114,0.9676,1.0067096998281526,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-G2/OTM_K110,2.2624444444444443,-0.4244579008571236,-0.5795130473653396,0.9977,1.001647320612049,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-G2/OTM_K125,3.114390243902439,-0.3930952155084823,-0.5300349936440396,1.0115,1.0000239033152936,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-G3/ATM,7.988652482269503,-0.1329370638402032,-0.599627443475947,1.0026,0.999999999999998,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-G3/OTM_K110,8.592014925373135,-0.1972349677618999,-0.4835655768525813,1.0043,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-G3/OTM_K125,9.403660714285714,-0.2528504936144645,-0.4278126914611038,1.0054,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-A/ATM,8.431162790697675,-0.0574254058890558,-1.0448253681251003,0.9801,0.9999999999999998,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-A/OTM_K110,8.978780487804878,-0.0584154871264316,-0.9247490234443,0.9819,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-A/OTM_K125,9.78764705882353,-0.0603855146725627,-0.7901241879781296,0.9831,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-B/ATM,8.775458937198069,-0.115960468164729,-0.9088609502807276,0.9858,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-B/OTM_K110,9.361878172588831,-0.0868606819707191,-0.8516580106630824,0.9873,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-B/OTM_K125,10.181280487804877,-0.0619990554631242,-0.7623553452094205,0.9879,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-C/ATM,9.308312020460358,-0.2529069611919033,-0.828241210283045,0.975,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-C/OTM_K110,9.82590425531915,-0.2578080863144742,-0.7702165900077627,0.977,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-C/OTM_K125,10.536509433962264,-0.2617644463534158,-0.7074599467190459,0.9783,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-D/ATM,11.54824295010846,0.1905321785517956,-0.6252280046872456,0.9693,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-D/OTM_K110,12.249717194570136,0.1776529311292121,-0.7037830491441768,0.9714,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-D/OTM_K125,12.895390625,0.1558220098529822,-0.7826462619595533,0.9735,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-E/ATM,30.65882295719844,-0.2428263913880932,-0.8461751987873223,0.9977,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-E/OTM_K110,33.721604166666665,-0.1904606167000722,-0.902155965787332,0.9972,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AA-E/OTM_K125,35.76988235294118,-0.1387868697801212,-0.9083217202078367,0.9971,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-A/ATM,0.1240856031128404,-0.6262656399075937,-0.4787051642610591,1.0988,1.032093989929614,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-A/OTM_K110,0.1962746710526315,-0.5223390759581479,-0.5386585528002521,1.0913,1.0372142780069016,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-A/OTM_K125,0.2663960749330954,-0.6727977961517289,-0.3767273738598877,0.9933,1.0414431307549643,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-B/ATM,0.6839446076374318,-0.5638372377363905,-0.5642783048071975,1.0968,1.04960230473183,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-B/OTM_K110,0.746647932557206,-0.4666548170846299,-0.5947459759156719,1.0451,1.0412504782895904,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-B/OTM_K125,0.8139256017505471,-0.6094783485893149,-0.4252917218051575,0.9473,1.0484444329476643,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-C/ATM,1.3396090286174929,-0.4778574353707278,-0.6803146585456776,1.0981,1.0192361660469658,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-C/OTM_K110,1.3991336441336442,-0.3885614166410876,-0.6761987069811113,1.0331,1.0129545612535642,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-C/OTM_K125,1.4725191815856775,-0.5190863737385424,-0.4999832418354035,0.9458,1.018116953132751,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-D/ATM,3.3459214795587275,-0.1558695593736259,-1.2387235236485998,1.0308,0.9996117233799549,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-D/OTM_K110,3.4774943420627227,-0.0551135152037467,-1.1855117711510952,1.0086,0.9997198694295224,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-D/OTM_K125,3.679512641993404,-0.0698201245722053,-1.050650526640468,0.9776,0.999873974125184,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-E/ATM,17.371930207197384,1.2514419570624296,0.1813435209858394,1.0526,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-E/OTM_K110,17.39669133192389,1.2559077803018923,0.161393427954203,1.0413,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB1-E/OTM_K125,17.023318705430608,1.0436779835847467,-0.2243892917809784,1.0284,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-A/ATM,3.355124839124839,-0.6151982281254655,-0.4027345858687039,0.9683,1.000146916521707,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-A/OTM_K110,3.226012192024384,-0.6158826105170285,-0.4391080848424793,0.9512,1.000216178113058,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-A/OTM_K125,3.199536216779573,-0.7245783289999768,-0.4180743992283235,0.9283,1.0003364845804203,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-B/ATM,3.663961482203804,-0.6424470258674793,-0.3630586615335445,0.9772,1.0000541089403832,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-B/OTM_K110,3.555240280125574,-0.6464775862530465,-0.3866494225787571,0.9626,1.0000789985439706,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-B/OTM_K125,3.5162093773257257,-0.756729872881437,-0.3590273029470436,0.9417,1.000128238820577,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-C/ATM,4.061846544950312,-0.6043704953043895,-0.4302003915932522,0.9803,1.000006744611588,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-C/OTM_K110,3.969873795318954,-0.6192962078067765,-0.4294658366440318,0.9681,1.0000110715616135,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-C/OTM_K125,3.9124634606317774,-0.7416235859511315,-0.3831261530951253,0.95,1.000024683853304,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-D/ATM,5.645551565928586,-0.772465308987872,-0.4954128754309446,0.9663,1.0000000015183783,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-D/OTM_K110,5.549282475852553,-0.7948302103314431,-0.4994961513413236,0.9602,1.0000000034006475,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-D/OTM_K125,5.361491822895891,-0.900679343576242,-0.4251908457222075,0.9502,1.000000026703196,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-E/ATM,7.132770672654496,-1.411894700148669,0.4213009436942623,0.9589,1.00000000000256,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-E/OTM_K110,7.124587813620071,-1.421949034064112,0.4303270009249624,0.9572,1.0000000000027451,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB2-E/OTM_K125,6.898494186046512,-1.4465861343253692,0.4843183408814733,0.9533,1.000000000013959,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-A/ATM,0.5498230088495575,0.0275548670715185,-1.0182473886209165,1.0649,1.0202863415312604,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-A/OTM_K110,0.6475559105431311,-0.183752119702832,-0.7286776551099376,0.9728,1.025257957724466,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-A/OTM_K125,0.7956068268015171,-0.3933557224019107,-0.4483669649116475,0.8926,1.0330602566026434,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-B/ATM,1.283300760043431,-0.085850100258737,-0.9722298363029748,0.9923,0.9980064440197642,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-B/OTM_K110,1.4117523493642896,-0.3143599942052028,-0.659355876260586,0.9233,1.0092709472686543,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-B/OTM_K125,1.6260932370321737,-0.539761153975591,-0.3449363794509241,0.8611,1.0156235409670584,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-C/ATM,2.314436821040595,-0.2952382766411718,-0.8449806498644912,1.0116,0.9990675846894852,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-C/OTM_K110,2.4709485251590517,-0.5395804371862383,-0.501238739417472,0.9675,1.0017594945153527,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-C/OTM_K125,2.7702878684030154,-0.7830840239328242,-0.1439410534225582,0.9347,1.001994705829882,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-D/ATM,6.098403126744835,-0.0553178081624293,-0.7053387527691144,0.9758,0.9999999988931232,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-D/OTM_K110,6.182457487657707,-0.1894215519767217,-0.6745045320247729,0.9623,0.999999999449564,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-D/OTM_K125,6.592961562696912,-0.2600554886324023,-0.7228448924836797,0.9505,0.999999999956231,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-E/ATM,13.111506677796326,1.1037730772245955,-0.1611606563051499,0.9869,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-E/OTM_K110,13.076306015341135,0.9683268391105496,-0.4804406097152642,0.9827,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-AB3-E/OTM_K125,13.453928571428571,0.9177690114648026,-0.6539293048586079,0.9784,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B1B1-A/ATM,10.626774193548387,-0.4850237312044529,-0.540520513406872,0.8992,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp03/Exp03-B1B1-A/OTM_K110,11.71103448275862,-0.5024945470180032,-0.5035790522611086,0.9071,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
