block,config_id,payoff,n_cal,n_test,r_eff,sigma_delta,mu_delta,theory_mr,empirical_mr,ratio,in_range,exp,pair,proto_pair,axis,step,diag,scale,window,clipped,n_seeds,scenario
Exp03,Exp03-AB1-C,OTM_K125,24,6,7.341,0.002346,-0.00345453,0.003601,0.00340571,0.9458,True,exp03,C,AB1,,,,,,,,
Exp03,Exp03-AB1-D,ATM,24,6,6.86,0.003082,-0.01031213,0.01031279,0.01063054,1.0308,True,exp03,D,AB1,,,,,,,,
Exp03,Exp03-AB1-D,OTM_K110,24,6,6.86,0.003093,-0.01075589,0.01075629,0.01084842,1.0086,True,exp03,D,AB1,,,,,,,,
Exp03,Exp03-AB1-D,OTM_K125,24,6,6.86,0.002729,-0.01004139,0.01004154,0.00981667,0.9776,True,exp03,D,AB1,,,,,,,,
Exp03,Exp03-AB1-E,ATM,24,6,7.731,0.001834,-0.03186012,0.03186012,0.03353606,1.0526,True,exp03,E,AB1,,,,,,,,
Exp03,Exp03-AB1-E,OTM_K110,24,6,7.731,0.001892,-0.03291454,0.03291454,0.03427398,1.0413,True,exp03,E,AB1,,,,,,,,
Exp03,Exp03-AB1-E,OTM_K125,24,6,7.731,0.001823,-0.03103351,0.03103351,0.03191499,1.0284,True,exp03,E,AB1,,,,,,,,
Exp03,Exp03-AB2-A,ATM,24,6,7.537,0.003885,-0.01303466,0.01303546,0.01262189,0.9683,True,exp03,A,AB2,,,,,,,,
Exp03,Exp03-AB2-A,OTM_K110,24,6,7.537,0.003937,-0.01270081,0.01270214,0.01208196,0.9512,True,exp03,A,AB2,,,,,,,,
Exp03,Exp03-AB2-A,OTM_K125,24,6,7.537,0.003838,-0.01227982,0.01228125,0.01140109,0.9283,True,exp03,A,AB2,,,,,,,,
Exp03,Exp03-AB2-B,ATM,24,6,7.508,0.004102,-0.01502957,0.01502982,0.01468701,0.9772,True,exp03,B,AB2,,,,,,,,
Exp03,Exp03-AB2-B,OTM_K110,24,6,7.508,0.004141,-0.01472225,0.01472264,0.014172,0.9626,True,exp03,B,AB2,,,,,,,,
Exp03,Exp03-AB2-B,OTM_K125,24,6,7.508,0.004031,-0.01417384,0.01417428,0.01334824,0.9417,True,exp03,B,AB2,,,,,,,,
Exp03,Exp03-AB2-C,ATM,24,6,7.499,0.004327,-0.01757561,0.01757565,0.01722876,0.9803,True,exp03,C,AB2,,,,,,,,
Exp03,Exp03-AB2-C,OTM_K110,24,6,7.499,0.004358,-0.01730071,0.01730078,0.01674932,0.9681,True,exp03,C,AB2,,,,,,,,
Exp03,Exp03-AB2-C,OTM_K125,24,6,7.499,0.004242,-0.01659667,0.01659676,0.01576711,0.95,True,exp03,C,AB2,,,,,,,,
Exp03,Exp03-AB2-D,ATM,24,6,7.406,0.005013,-0.02830115,0.02830115,0.02734662,0.9663,True,exp03,D,AB2,,,,,,,,
Exp03,Exp03-AB2-D,OTM_K110,24,6,7.406,0.005073,-0.02815151,0.02815151,0.02703215,0.9602,True,exp03,D,AB2,,,,,,,,
Exp03,Exp03-AB2-D,OTM_K125,24,6,7.406,0.005014,-0.02688252,0.02688252,0.02554479,0.9502,True,exp03,D,AB2,,,,,,,,
