protocol_pair,pair,payoff,rho,sigma_1,sigma_2,sigma_delta,mu,s
AB3,B,OTM_K110,0.1831485536977408,0.0011548055398723314,0.0017167783001010345,0.0018853920107634729,-0.002522406975428257,-1.3378687090154957
B1B1,B,OTM_K110,0.9933646287829997,0.0014222291947915753,0.001470587571046599,0.00017347754108643123,-0.0016906184454758971,-9.74546004565274
B2B2,B,OTM_K110,0.997331004546453,0.0026474808585949137,0.00280555972898812,0.00025423953493963536,-0.0025250340501467433,-9.931712826434596
AA,B,OTM_K125,0.9835199599757558,0.0009745908628475857,0.0010567800250658676,0.0002017463081881667,-0.0017012638350327805,-8.432688807599042
AB1,B,OTM_K125,-0.20265069176544878,0.0009745908628475857,0.0012675074371871126,0.001748448376498996,-0.0018679615110158906,-1.06835382509617
AB2,B,OTM_K125,-0.22504591333526772,0.0009745908628475857,0.0028312992686368786,0.0031950035305089108,-0.013848280534148216,-4.334355315076104
AB3,B,OTM_K125,0.1992948356785871,0.0009745908628475857,0.0014846980246956867,0.0016054304813812187,-0.002418767660856247,-1.5066162558314455
B1B1,B,OTM_K125,0.993654612778707,0.0012177491865351564,0.0012675074371871126,0.00014854013570569946,-0.0015472480406363773,-10.41636345143725
B2B2,B,OTM_K125,0.9980020985312493,0.0026727424050393103,0.0028312992686368786,0.00023532499418534413,-0.002361541738112774,-10.035235510312186
AA,C,ATM,0.9357239925733281,0.001222169502260734,0.0013667003297156053,0.0004854015485929327,-0.0037382428844769944,-7.701341075885109
AB1,C,ATM,-0.0988624240184019,0.001222169502260734,0.0015791109838224216,0.002090188302235885,-0.0034341474374135483,-1.6429847175682801
AB2,C,ATM,-0.19798611523867146,0.001222169502260734,0.00288931306574528,0.003352625452819281,-0.017331504325071995,-5.1695319292221065
AB3,C,ATM,0.15969240637159676,0.001222169502260734,0.0018148406471375095,0.0020196375054830243,-0.0040592645605405375,-2.009897592771089
B1B1,C,ATM,0.9752225154464216,0.001490340048524942,0.0015791109838224216,0.00035285061254217094,-0.0033078903953234484,-9.37476166327501
B2B2,C,ATM,0.988772916608984,0.0026024621510686574,0.00288931306574528,0.0005011224300713918,-0.005023228625456511,-10.023954874142996
AA,C,DIGITAL,0.9678429783365563,0.0016371061036264689,0.001559942452589424,0.0004125516622543683,-0.0013342797756195068,-3.23421257916742
AB1,C,DIGITAL,-0.034835360893087905,0.0016371061036264689,0.0016871153642181523,0.0023914230627038523,-0.0002644320329030503,-0.11057517886612306
AB2,C,DIGITAL,0.1785881301446677,0.0016371061036264689,0.0009075867135923569,0.0017242772180628726,-0.004534975687662757,-2.630073424479588
AB3,C,DIGITAL,0.07989314178496722,0.0016371061036264689,0.002320323583187786,0.002730760188626941,-0.000670463840166724,-0.24552278261528387
B1B1,C,DIGITAL,0.9837816536051952,0.0017379784245336977,0.0016871153642181523,0.0003125651159889077,-0.0008538722991943692,-2.731822124464687
B2B2,C,DIGITAL,0.9294141456089476,0.0009028363700210267,0.0009075867135923569,0.00034014553912265665,-0.0011430233716964722,-3.3603950081035676
AA,C,OTM_K110,0.9342392255898403,0.0011548055398723314,0.0013104844759301586,0.0004725195122892821,-0.0037949427962303134,-8.03129330648044
AB1,C,OTM_K110,-0.1604051565843527,0.0011548055398723314,0.0015155008465177686,0.0020473816435482416,-0.0036641356845696776,-1.7896691103567282
AB2,C,OTM_K110,-0.2250255685501989,0.0011548055398723314,0.0029289816898997443,0.0033815328577128318,-0.017015819499890006,-5.0319840781908
AB3,C,OTM_K110,0.1864440618316567,0.0011548055398723314,0.0017597056709808942,0.0019163473767811446,-0.004245395958423617,-2.21535824342794
B1B1,C,OTM_K110,0.9746238837165825,0.0014222291947915753,0.0015155008465177686,0.00034364288536340435,-0.0034090697765350453,-9.92038514904778
B2B2,C,OTM_K110,0.9893623674165924,0.0026474808585949137,0.0029289816898997443,0.000494186323867428,-0.005089255919059121,-10.298253256446614
AA,C,OTM_K125,0.936823114914552,0.0009745908628475857,0.0011284207560693898,0.0004032629571773978,-0.00343939736485481,-8.52891966306193
AB1,C,OTM_K125,-0.22623454381701366,0.0009745908628475857,0.0013161484639444365,0.0018062278548044608,-0.003444612398743635,-1.9070752283999866
AB2,C,OTM_K125,-0.23124481837979216,0.0009745908628475857,0.0029578136289651496,0.0033213985500428274,-0.016256321594119078,-4.8944206331123565
AB3,C,OTM_K125,0.20059011608480243,0.0009745908628475857,0.0015245048182870385,0.0016364233415220083,-0.003988943124810851,-2.4375985257585033
B1B1,C,OTM_K125,0.9763893775757904,0.0012177491865351564,0.0013161484639444365,0.0002921741524887718,-0.0031238989283641216,-10.691907212716815
B2B2,C,OTM_K125,0.9919265546837617,0.0026727424050393103,0.0029578136289651496,0.0004570715757635787,-0.004769582798083635,-10.4350894936217
AA,D,ATM,0.6303599790924413,0.001222169502260734,0.001444932502004494,0.001164111998631364,-0.011047089099884055,-9.48971328606871
