config_id,block,payoff,ratio_b5,ratio_V1,V2_median,V2_q10,V2_q90,n_cal,n_test
Exp03-AB1-E,Exp03,OTM_K125,1.0284,1.0284040489733237,1.0000904521711802,1.000018882585704,1.0006319757701627,24,6
Exp03-AB2-A,Exp03,ATM,0.9683,0.9683327716123898,1.00196680122261,1.000142849993655,1.0130052921816213,24,6
Exp03-AB2-A,Exp03,OTM_K110,0.9512,0.9512739264214539,1.0041139142494484,1.0006254959196181,1.0179092817198785,24,6
Exp03-AB2-A,Exp03,OTM_K125,0.9283,0.92844049705608,1.0027247312874914,1.0001955650213552,1.0226938809980395,24,6
Exp03-AB2-B,Exp03,ATM,0.9772,0.9772076633030353,1.00112150480367,1.0003492413154742,1.0086030792092398,24,6
Exp03-AB2-B,Exp03,OTM_K110,0.9626,0.9626245535173378,1.0021419738556139,1.0002186538739144,1.0158286902844935,24,6
Exp03-AB2-B,Exp03,OTM_K125,0.9417,0.9417516810605654,1.0046396643389155,1.0001912883269715,1.0108207490194543,24,6
Exp03-AB2-C,Exp03,ATM,0.9803,0.9802654758075298,1.001027489113195,1.0001174287481895,1.0047444863640598,24,6
Exp03-AB2-C,Exp03,OTM_K110,0.9681,0.9681289427208848,1.0022620789574295,1.0006045435428048,1.0165202181028716,24,6
Exp03-AB2-C,Exp03,OTM_K125,0.95,0.9500165810585158,1.0007795401799169,1.0000307122551804,1.0075263535608514,24,6
Exp03-AB2-D,Exp03,ATM,0.9663,0.966272256920142,1.0013444770264908,1.0000232508346423,1.0092134353902176,24,6
Exp03-AB2-D,Exp03,OTM_K110,0.9602,0.9602380570296107,1.0008379115667971,1.0000199100806675,1.007990618548362,24,6
Exp03-AB2-D,Exp03,OTM_K125,0.9502,0.9502379676056212,1.0013598866889166,1.0001492992926626,1.0081943859653093,24,6
Exp03-AB2-E,Exp03,ATM,0.9589,0.9589277679720855,1.0005111828529714,1.0002090737208214,1.0020834738706834,24,6
Exp03-AB2-E,Exp03,OTM_K110,0.9572,0.9572214870238679,1.001106375809867,1.000028168609149,1.0025192382991341,24,6
Exp03-AB2-E,Exp03,OTM_K125,0.9533,0.9532906975592632,1.0007718938594232,1.000119381444186,1.0028922769570277,24,6
Exp03-AB3-A,Exp03,ATM,1.0649,1.0552676031394197,1.05314019123437,1.0075542945007196,1.1859708447921338,24,6
Exp03-AB3-A,Exp03,OTM_K110,0.9728,0.9929734736531723,1.0239109417028387,0.9858940128392376,1.1546513265558498,24,6
Exp03-AB3-A,Exp03,OTM_K125,0.8926,0.9033344450258937,1.0305476724604492,0.976629277459283,1.0989566250470417,24,6
Exp03-AB3-B,Exp03,ATM,0.9923,0.9719932397048883,0.9997337171634504,0.9773506725461849,1.0308626633949631,24,6
Exp03-AB3-B,Exp03,OTM_K110,0.9233,0.917663469367762,1.0102421312156329,0.9703039878921359,1.157851163518328,24,6
Exp03-AB3-B,Exp03,OTM_K125,0.8611,0.8562885133279331,0.9884605913579472,0.9637764810516127,1.0810081926419455,24,6
Exp03-AB3-C,Exp03,ATM,1.0116,1.0056690283376104,1.001850547159132,0.9944829868648245,1.0616821592087637,24,6
Exp03-AB3-C,Exp03,OTM_K110,0.9675,0.9652411313282465,1.006165772953684,0.9969020348586675,1.0510234360873323,24,6
Exp03-AB3-C,Exp03,OTM_K125,0.9347,0.9335273884341461,1.0041288797950498,0.9987648401485509,1.0481627176032828,24,6
Exp03-AB3-D,Exp03,ATM,0.9758,0.9758025781140768,1.0010705259281834,1.0001570175949808,1.0090753099682008,24,6
Exp03-AB3-D,Exp03,OTM_K110,0.9623,0.9622790443138347,1.0014614936646176,1.0001080426513682,1.0069066428527167,24,6
Exp03-AB3-D,Exp03,OTM_K125,0.9505,0.9504594904266296,1.0022164366620596,1.0001988452055663,1.0054891509832669,24,6
Exp03-AB3-E,Exp03,ATM,0.9869,0.986913692862862,1.000294122162173,1.0000260825628127,1.0023115420025253,24,6
Exp03-AB3-E,Exp03,OTM_K110,0.9827,0.9826843391576152,1.0003797245006218,1.0000005480685228,1.0012087176777793,24,6
Exp03-AB3-E,Exp03,OTM_K125,0.9784,0.9783904561208998,1.0005381887217983,1.000037178007258,1.0012122894918345,24,6
