key,block,config_id,payoff,n_cal,n_test_lo,n_test_hi,n_seeds
Exp03__Exp03-B1B1-E__OTM_K125,Exp03,Exp03-B1B1-E,OTM_K125,24,24,30,30
Exp03__Exp03-B2B2-A__ATM,Exp03,Exp03-B2B2-A,ATM,24,24,30,30
Exp03__Exp03-B2B2-A__OTM_K110,Exp03,Exp03-B2B2-A,OTM_K110,24,24,30,30
Exp03__Exp03-B2B2-A__OTM_K125,Exp03,Exp03-B2B2-A,OTM_K125,24,24,30,30
Exp03__Exp03-B2B2-B__ATM,Exp03,Exp03-B2B2-B,ATM,24,24,30,30
Exp03__Exp03-B2B2-B__OTM_K110,Exp03,Exp03-B2B2-B,OTM_K110,24,24,30,30
Exp03__Exp03-B2B2-B__OTM_K125,Exp03,Exp03-B2B2-B,OTM_K125,24,24,30,30
Exp03__Exp03-B2B2-C__ATM,Exp03,Exp03-B2B2-C,ATM,24,24,30,30
Exp03__Exp03-B2B2-C__OTM_K110,Exp03,Exp03-B2B2-C,OTM_K110,24,24,30,30
Exp03__Exp03-B2B2-C__OTM_K125,Exp03,Exp03-B2B2-C,OTM_K125,24,24,30,30
Exp03__Exp03-B2B2-D__ATM,Exp03,Exp03-B2B2-D,ATM,24,24,30,30
Exp03__Exp03-B2B2-D__OTM_K110,Exp03,Exp03-B2B2-D,OTM_K110,24,24,30,30
Exp03__Exp03-B2B2-D__OTM_K125,Exp03,Exp03-B2B2-D,OTM_K125,24,24,30,30
Exp03__Exp03-B2B2-E__ATM,Exp03,Exp03-B2B2-E,ATM,24,24,30,30
Exp03__Exp03-B2B2-E__OTM_K110,Exp03,Exp03-B2B2-E,OTM_K110,24,24,30,30
Exp03__Exp03-B2B2-E__OTM_K125,Exp03,Exp03-B2B2-E,OTM_K125,24,24,30,30
Exp05_axis__Exp05ax-v1__ATM,Exp05_axis,Exp05ax-v1,ATM,150,150,200,200
Exp05_axis__Exp05ax-v1__OTM_K110,Exp05_axis,Exp05ax-v1,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-v1__OTM_K125,Exp05_axis,Exp05ax-v1,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-v2__ATM,Exp05_axis,Exp05ax-v2,ATM,150,150,200,200
Exp05_axis__Exp05ax-v2__OTM_K110,Exp05_axis,Exp05ax-v2,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-v2__OTM_K125,Exp05_axis,Exp05ax-v2,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-v3__ATM,Exp05_axis,Exp05ax-v3,ATM,150,150,200,200
Exp05_axis__Exp05ax-v3__OTM_K110,Exp05_axis,Exp05ax-v3,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-v3__OTM_K125,Exp05_axis,Exp05ax-v3,OTM_K125,150,150,200,200
Exp05_axis__Exp05ax-v4__ATM,Exp05_axis,Exp05ax-v4,ATM,150,150,200,200
Exp05_axis__Exp05ax-v4__OTM_K110,Exp05_axis,Exp05ax-v4,OTM_K110,150,150,200,200
Exp05_axis__Exp05ax-v4__OTM_K125,Exp05_axis,Exp05ax-v4,OTM_K125,150,150,200,200
