config_key,block,config_id,payoff,model_class,pair,proto_pair,axis,step,diag,scale,window,scenario,clipped,n_cal,n_eval,n_seeds,lambda_1,lambda_2,lambda_status,lambda_source
Exp02__Exp02-G2__OTM_K125,Exp02,Exp02-G2,OTM_K125,heston,G2,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.495,""v"":0.1,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-G3__ATM,Exp02,Exp02-G3,ATM,heston,G3,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.205,""rho"":-0.5,""v"":0.1,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-G3__OTM_K110,Exp02,Exp02-G3,OTM_K110,heston,G3,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.205,""rho"":-0.5,""v"":0.1,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-G3__OTM_K125,Exp02,Exp02-G3,OTM_K125,heston,G3,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.205,""rho"":-0.5,""v"":0.1,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp03__Exp03-AA-A__ATM,Exp03,Exp03-AA-A,ATM,heston,A,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AA-A__OTM_K110,Exp03,Exp03-AA-A,OTM_K110,heston,A,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AA-A__OTM_K125,Exp03,Exp03-AA-A,OTM_K125,heston,A,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AA-B__ATM,Exp03,Exp03-AA-B,ATM,heston,B,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AA-B__OTM_K110,Exp03,Exp03-AA-B,OTM_K110,heston,B,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AA-B__OTM_K125,Exp03,Exp03-AA-B,OTM_K125,heston,B,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AA-C__ATM,Exp03,Exp03-AA-C,ATM,heston,C,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AA-C__OTM_K110,Exp03,Exp03-AA-C,OTM_K110,heston,C,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AA-C__OTM_K125,Exp03,Exp03-AA-C,OTM_K125,heston,C,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AA-D__ATM,Exp03,Exp03-AA-D,ATM,heston,D,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
Exp03__Exp03-AA-D__OTM_K110,Exp03,Exp03-AA-D,OTM_K110,heston,D,AA,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:315 EXP03_PAIRS_AE
